timestamp,ax,ay,az,gx,gy,gz,label,subject_id
0,-9.49062,0.20351,-0.96247,-4.878,-0.6098,-1.1585,+X_down,CALIB
20,-9.56723,0.2083,-0.93613,-4.5122,-0.6707,-1.2195,+X_down,CALIB
40,-9.50019,0.21787,-0.9481,-4.3293,-1.8293,0.2439,+X_down,CALIB
60,-9.4978,0.18196,-0.95289,-4.0854,-1.9512,0.7317,+X_down,CALIB
80,-9.52653,0.24181,-0.89783,-3.5366,-1.4024,0.6098,+X_down,CALIB
100,-9.50737,0.26576,-0.87149,-3.5976,-1.5854,1.7073,+X_down,CALIB
120,-9.52413,0.26815,-0.90261,-4.0244,-1.4024,2.0732,+X_down,CALIB
140,-9.55526,0.23224,-0.97444,-4.3902,-1.5854,2.1951,+X_down,CALIB
160,-9.52174,0.21787,-0.99599,-4.3902,-2.1951,2.1951,+X_down,CALIB
180,-9.47625,0.27533,-0.8691,-4.3293,-1.9512,1.3415,+X_down,CALIB
200,-9.50737,0.23942,-0.87628,-4.6951,-0.9756,0.9756,+X_down,CALIB
220,-9.54089,0.22984,-0.93374,-4.5732,-0.4268,0.7927,+X_down,CALIB
240,-9.56962,0.29209,-0.89543,-4.2683,-0.9146,1.4634,+X_down,CALIB
260,-9.56723,0.25139,-0.97683,-4.5122,-2.0732,2.8659,+X_down,CALIB
280,-9.50737,0.26097,-0.93853,-4.2683,-2.8659,3.4146,+X_down,CALIB
300,-9.4954,0.28012,-0.8691,-4.0244,-2.9878,4.4512,+X_down,CALIB
320,-9.46189,0.26815,-0.90501,-4.2073,-2.5,3.5976,+X_down,CALIB
340,-9.51695,0.26576,-0.93853,-4.2073,-1.5854,2.5,+X_down,CALIB
360,-9.6223,0.33758,-0.87149,-4.1463,-1.0366,1.3415,+X_down,CALIB
380,-9.54329,0.33519,-0.9098,-4.5122,-1.2805,0.6098,+X_down,CALIB
400,-9.54568,0.36392,-0.85712,-4.5732,-1.6463,0.122,+X_down,CALIB
420,-9.50977,0.29688,-0.90022,-5.061,-2.0732,0.8537,+X_down,CALIB
440,-9.47625,0.25618,-0.92656,-5.061,-2.1341,1.4634,+X_down,CALIB
460,-9.52413,0.25379,-0.9098,-4.5732,-1.5854,1.2195,+X_down,CALIB
480,-9.52413,0.31843,-0.85473,-4.2683,-1.2195,0.3049,+X_down,CALIB
500,-9.50259,0.29449,-0.89064,-4.5732,-1.0366,0.2439,+X_down,CALIB
520,-9.54568,0.27533,-0.91459,-4.6951,-1.0366,0.6707,+X_down,CALIB
540,-9.51935,0.29449,-0.88585,-4.5122,-1.1585,1.0976,+X_down,CALIB
560,-9.54568,0.30167,-0.9074,-4.4512,-1.2195,0.9756,+X_down,CALIB
580,-9.50259,0.30167,-0.88346,-4.5122,-1.0976,0.6098,+X_down,CALIB
600,-9.54329,0.28012,-0.92656,-4.6951,-0.5488,-0.122,+X_down,CALIB
620,-9.56962,0.30406,-0.88585,-4.4512,-0.7317,-0.3659,+X_down,CALIB
640,-9.50498,0.29449,-0.88825,-4.2683,-1.6463,0.4268,+X_down,CALIB
660,-9.48822,0.30646,-0.8667,-4.3293,-1.7073,0.6098,+X_down,CALIB
680,-9.52653,0.27294,-0.90501,-4.4512,-1.5854,1.0366,+X_down,CALIB
700,-9.56244,0.25379,-0.91459,-4.2683,-1.5854,1.4634,+X_down,CALIB
720,-9.55287,0.27773,-0.9074,-3.7805,-2.2561,2.0732,+X_down,CALIB
740,-9.46428,0.31603,-0.87628,-3.5366,-2.622,2.439,+X_down,CALIB
760,-9.51456,0.36871,-0.85952,-3.9024,-1.5854,1.4024,+X_down,CALIB
780,-9.56244,0.35674,-0.88346,-4.5122,-1.2805,1.4634,+X_down,CALIB
800,-9.52413,0.31843,-0.89064,-4.6951,-1.4024,1.8293,+X_down,CALIB
820,-9.54329,0.28252,-0.92895,-4.5732,-1.4024,1.1585,+X_down,CALIB
840,-9.51695,0.27773,-0.91459,-4.1463,-1.2195,0.0,+X_down,CALIB
860,-9.52413,0.31125,-0.83558,-3.7805,-1.0976,-0.061,+X_down,CALIB
880,-9.54568,0.30885,-0.83797,-3.7805,-1.5244,1.2805,+X_down,CALIB
900,-9.54808,0.32322,-0.91698,-3.8415,-2.1341,2.1951,+X_down,CALIB
920,-9.50737,0.3304,-0.90022,-3.9634,-2.561,2.2561,+X_down,CALIB
940,-9.52174,0.32561,-0.86431,-4.3293,-1.8293,0.4878,+X_down,CALIB
960,-9.51456,0.32082,-0.86191,-4.5732,-1.0976,-1.0366,+X_down,CALIB
980,-9.51456,0.3735,-0.82361,-4.5732,-0.7317,-0.9146,+X_down,CALIB
1000,-9.52892,0.33998,-0.84276,-4.8171,-0.8537,1.0976,+X_down,CALIB
1020,-9.52892,0.28012,-0.90022,-5.0,-0.9756,2.1951,+X_down,CALIB
1040,-9.54568,0.27294,-0.93853,-4.6951,-0.7927,1.2805,+X_down,CALIB
1060,-9.56005,0.29928,-0.92656,-4.3293,-1.0366,0.1829,+X_down,CALIB
1080,-9.4547,0.31364,-0.85952,-4.1463,-1.2195,-0.6098,+X_down,CALIB
1100,-9.50737,0.34955,-0.81403,-4.5122,0.4878,-3.2927,+X_down,CALIB
1120,-9.64145,0.26815,-0.88825,-5.2439,1.4634,-4.2683,+X_down,CALIB
1140,-9.56244,0.26097,-0.92177,-6.2805,0.8537,-2.622,+X_down,CALIB
1160,-9.47386,0.19632,-0.94571,-6.2195,0.5488,-1.9512,+X_down,CALIB
