timestamp,ax,ay,az,gx,gy,gz,label,subject_id
0,-0.61531,9.54329,-0.9912,-28.3537,0.4878,-24.939,+Y_down,CALIB
20,-0.99359,9.44273,-0.79248,-28.9024,7.378,-21.4024,+Y_down,CALIB
40,-0.99359,9.44273,-0.79248,-28.9024,7.378,-21.4024,+Y_down,CALIB
60,-0.93853,9.50259,-0.67516,-27.0732,5.6098,-8.2317,+Y_down,CALIB
80,-0.84755,9.6223,-0.59616,-17.8049,9.939,12.1341,+Y_down,CALIB
100,-0.67756,9.65342,-0.60813,-12.2561,11.8293,17.0732,+Y_down,CALIB
120,-0.5387,9.6606,-0.62489,-8.5366,9.878,14.6341,+Y_down,CALIB
140,-0.4956,9.6606,-0.6177,-7.378,7.3171,5.5488,+Y_down,CALIB
160,-0.60573,9.63666,-0.63207,-7.378,6.4024,-4.8171,+Y_down,CALIB
180,-0.77093,9.56484,-0.6177,-7.7439,4.8171,-7.378,+Y_down,CALIB
200,-0.69671,9.58399,-0.56982,-7.6829,2.439,-0.6707,+Y_down,CALIB
220,-0.65122,9.59835,-0.57221,-7.5,2.622,1.6463,+Y_down,CALIB
240,-0.69432,9.58638,-0.56982,-6.8293,1.9512,0.6707,+Y_down,CALIB
260,-0.70868,9.56962,-0.55067,-5.6098,-0.2439,2.3171,+Y_down,CALIB
280,-0.67277,9.56962,-0.54348,-3.5976,-1.5854,6.7073,+Y_down,CALIB
300,-0.61292,9.60314,-0.58658,-1.7683,-0.4268,10.122,+Y_down,CALIB
320,-0.56264,9.61272,-0.60334,-1.2805,0.0,10.4268,+Y_down,CALIB
340,-0.49799,9.61272,-0.61292,-1.5244,-0.5488,8.7195,+Y_down,CALIB
360,-0.51475,9.60314,-0.60813,-2.0732,-1.5854,5.061,+Y_down,CALIB
380,-0.56024,9.59596,-0.63207,-2.5,-1.7073,3.6585,+Y_down,CALIB
400,-0.52194,9.63187,-0.62728,-2.7439,-1.6463,6.4634,+Y_down,CALIB
420,-0.44772,9.64384,-0.65122,-3.1098,-1.1585,7.561,+Y_down,CALIB
440,-0.40701,9.63187,-0.64643,-4.2683,-1.1585,4.6341,+Y_down,CALIB
460,-0.41659,9.63666,-0.63446,-5.4878,-1.0976,-0.122,+Y_down,CALIB
480,-0.46926,9.6199,-0.6177,-6.3415,-0.3049,-4.0854,+Y_down,CALIB
500,-0.50518,9.61751,-0.61052,-6.5854,0.9146,-5.2439,+Y_down,CALIB
520,-0.55306,9.61272,-0.61292,-6.5854,1.2195,-4.8171,+Y_down,CALIB
540,-0.54348,9.61272,-0.59855,-6.4024,0.6098,-3.2317,+Y_down,CALIB
560,-0.5387,9.60554,-0.58897,-6.0976,0.3659,-2.561,+Y_down,CALIB
580,-0.54827,9.61272,-0.58419,-5.6098,0.6098,-2.8659,+Y_down,CALIB
600,-0.56264,9.60793,-0.59855,-4.939,1.0976,-3.3537,+Y_down,CALIB
620,-0.58658,9.60075,-0.60813,-4.939,1.8293,-3.0488,+Y_down,CALIB
640,-0.56503,9.61511,-0.59376,-5.4268,1.8902,-2.7439,+Y_down,CALIB
660,-0.61052,9.59835,-0.5794,-5.9756,2.5,-5.1829,+Y_down,CALIB
680,-0.68953,9.59117,-0.58179,-5.7927,2.3171,-6.1585,+Y_down,CALIB
700,-0.67756,9.57441,-0.57461,-5.2439,1.0976,-3.0488,+Y_down,CALIB
720,-0.64165,9.58399,-0.56503,-4.939,1.6463,-0.2439,+Y_down,CALIB
740,-0.63925,9.59596,-0.56024,-4.6341,3.2317,0.122,+Y_down,CALIB
760,-0.67038,9.58638,-0.55785,-4.2073,4.1463,-0.3659,+Y_down,CALIB
780,-0.66319,9.60554,-0.56264,-3.7195,4.3902,1.1585,+Y_down,CALIB
800,-0.66319,9.6223,-0.58419,-3.5366,5.9146,2.561,+Y_down,CALIB
820,-0.64165,9.61272,-0.60813,-3.9634,5.6707,2.7439,+Y_down,CALIB
840,-0.62968,9.59357,-0.60334,-4.2683,2.7439,2.8659,+Y_down,CALIB
860,-0.6177,9.59596,-0.59137,-4.3293,1.2195,3.8415,+Y_down,CALIB
880,-0.6201,9.59117,-0.60094,-4.0854,1.7683,4.4512,+Y_down,CALIB
900,-0.58897,9.60793,-0.61052,-3.6585,2.1951,5.3049,+Y_down,CALIB
920,-0.55545,9.60793,-0.6177,-3.4146,1.4634,5.1829,+Y_down,CALIB
940,-0.54348,9.61751,-0.59616,-3.6585,0.7927,4.2073,+Y_down,CALIB
960,-0.54109,9.61033,-0.59137,-3.5976,1.2195,2.9878,+Y_down,CALIB
980,-0.55545,9.60793,-0.61292,-3.4146,1.4634,2.9878,+Y_down,CALIB
1000,-0.54588,9.61033,-0.6177,-3.2927,0.7317,4.2683,+Y_down,CALIB
1020,-0.50039,9.63427,-0.63207,-3.3537,0.3049,5.122,+Y_down,CALIB
1040,-0.47884,9.63427,-0.62728,-3.7195,0.3049,3.9024,+Y_down,CALIB
1060,-0.48842,9.62708,-0.62249,-4.0854,0.6707,1.4634,+Y_down,CALIB
1080,-0.52672,9.60314,-0.63207,-4.2683,1.2195,0.4878,+Y_down,CALIB
1100,-0.50039,9.60075,-0.63925,-4.0854,0.6098,2.0732,+Y_down,CALIB
1120,-0.48602,9.6199,-0.64404,-4.2073,-0.3049,2.622,+Y_down,CALIB
1140,-0.49321,9.6199,-0.63446,-4.8171,-0.7927,1.6463,+Y_down,CALIB
1160,-0.48123,9.62708,-0.6201,-5.4268,-0.7317,0.4268,+Y_down,CALIB
1180,-0.4956,9.6199,-0.6201,-5.6707,-0.1829,-0.4878,+Y_down,CALIB
1200,-0.48123,9.6199,-0.59855,-5.6707,-0.2439,-0.2439,+Y_down,CALIB
1220,-0.46448,9.61272,-0.59376,-5.4268,-0.3049,-1.3415,+Y_down,CALIB
1240,-0.50518,9.60314,-0.58897,-5.122,-0.3049,-3.7195,+Y_down,CALIB
1260,-0.56024,9.59835,-0.59376,-4.8171,-0.5488,-4.0854,+Y_down,CALIB
1280,-0.56024,9.60793,-0.60573,-4.7561,-0.4268,-2.1341,+Y_down,CALIB
1300,-0.56024,9.59835,-0.60813,-4.878,0.3049,-0.3049,+Y_down,CALIB
1320,-0.55306,9.61033,-0.58897,-4.878,0.3659,0.9756,+Y_down,CALIB
1340,-0.54827,9.61511,-0.58658,-4.3902,-0.122,1.7683,+Y_down,CALIB
1360,-0.54348,9.60793,-0.58897,-4.0244,-0.2439,1.8902,+Y_down,CALIB
1380,-0.52912,9.61033,-0.58897,-3.8415,0.1829,2.622,+Y_down,CALIB
1400,-0.49081,9.6199,-0.60573,-3.9634,1.5854,3.2927,+Y_down,CALIB
1420,-0.48602,9.61511,-0.61052,-4.3293,2.1951,2.3171,+Y_down,CALIB
1440,-0.49081,9.61511,-0.60813,-4.4512,1.5854,0.3659,+Y_down,CALIB
1460,-0.51954,9.60554,-0.60094,-4.3293,0.9756,-0.8537,+Y_down,CALIB
1480,-0.53391,9.60554,-0.61531,-4.0854,0.6707,-0.5488,+Y_down,CALIB
1500,-0.51954,9.6223,-0.62489,-3.7805,0.0,0.5488,+Y_down,CALIB
1520,-0.51715,9.6199,-0.63207,-4.0854,-0.4268,0.4878,+Y_down,CALIB
1540,-0.51715,9.61272,-0.61292,-4.6951,-0.3659,0.061,+Y_down,CALIB
1560,-0.52194,9.60554,-0.60334,-5.3049,-0.3659,-0.7927,+Y_down,CALIB
1580,-0.54827,9.58638,-0.58419,-5.3659,-0.9146,-1.4634,+Y_down,CALIB
1600,-0.55306,9.58399,-0.5794,-4.5732,-1.3415,-0.3049,+Y_down,CALIB
1620,-0.52433,9.61033,-0.61292,-3.7805,-0.7317,0.8537,+Y_down,CALIB
1640,-0.52433,9.61033,-0.61292,-3.7805,-0.7317,0.8537,+Y_down,CALIB
1660,-0.5387,9.61751,-0.6201,-4.2683,-1.1585,-0.122,+Y_down,CALIB
1680,-0.54827,9.61033,-0.60813,-4.3293,-2.0122,1.3415,+Y_down,CALIB
1700,-0.53151,9.61272,-0.59855,-4.3293,-1.5854,2.1951,+Y_down,CALIB
1720,-0.51715,9.61511,-0.61052,-4.3902,-1.2195,1.4634,+Y_down,CALIB
1740,-0.54348,9.60793,-0.61531,-4.5732,-1.3415,-0.1829,+Y_down,CALIB
1760,-0.56264,9.59596,-0.60813,-4.5732,-1.6463,-0.1829,+Y_down,CALIB
1780,-0.55545,9.60075,-0.60094,-4.1463,-1.4024,1.6463,+Y_down,CALIB
1800,-0.50757,9.6199,-0.61052,-3.7195,-0.8537,3.2317,+Y_down,CALIB
1820,-0.50039,9.62469,-0.61531,-3.9024,-0.7317,2.2561,+Y_down,CALIB
1840,-0.52433,9.60314,-0.60573,-4.3293,-1.2805,1.0366,+Y_down,CALIB
1860,-0.53391,9.60314,-0.59616,-4.5732,-1.5854,1.6463,+Y_down,CALIB
1880,-0.50039,9.60554,-0.59376,-4.6951,-1.5244,3.5976,+Y_down,CALIB
1900,-0.47405,9.61751,-0.60094,-4.5122,-1.4634,4.1463,+Y_down,CALIB
1920,-0.45729,9.62469,-0.60573,-4.2073,-1.2195,2.8659,+Y_down,CALIB
1940,-0.47884,9.61751,-0.61052,-4.2683,-0.9756,0.5488,+Y_down,CALIB
1960,-0.49799,9.61511,-0.60573,-4.6951,-0.9146,-0.4268,+Y_down,CALIB
1980,-0.50278,9.61272,-0.58897,-4.939,-1.0366,0.2439,+Y_down,CALIB
