timestamp,ax,ay,az,gx,gy,gz,label,subject_id
0,0.33758,0.11732,9.59835,-4.4512,-0.3049,3.2317,+Z_down,CALIB
20,0.3711,0.12689,9.6223,-4.2073,-0.7317,3.6585,+Z_down,CALIB
40,0.39504,0.13168,9.64145,-4.0854,-0.5488,3.8415,+Z_down,CALIB
60,0.38068,0.1245,9.5816,-4.2073,0.061,3.1707,+Z_down,CALIB
80,0.39025,0.13168,9.57202,-4.0244,-0.122,2.6829,+Z_down,CALIB
100,0.38307,0.14365,9.6199,-3.9024,-0.4878,2.2561,+Z_down,CALIB
120,0.33998,0.14605,9.64384,-3.9024,-0.5488,1.9512,+Z_down,CALIB
140,0.34477,0.13886,9.63187,-4.0854,-0.4878,1.2805,+Z_down,CALIB
160,0.32322,0.12929,9.59117,-4.0854,-0.6707,1.1585,+Z_down,CALIB
180,0.35434,0.15083,9.6199,-3.9634,-1.1585,1.0976,+Z_down,CALIB
200,0.35434,0.17238,9.62948,-3.9634,-1.0976,1.5244,+Z_down,CALIB
220,0.34237,0.14844,9.6199,-4.0244,-1.0366,2.1341,+Z_down,CALIB
240,0.37589,0.12689,9.59117,-4.2073,-0.9146,1.4024,+Z_down,CALIB
260,0.34477,0.13408,9.6223,-4.0854,-0.8537,1.4024,+Z_down,CALIB
280,0.34237,0.14844,9.6199,-4.0854,-0.7927,1.0976,+Z_down,CALIB
300,0.36152,0.15562,9.60793,-4.1463,-0.7317,0.6707,+Z_down,CALIB
320,0.35434,0.16041,9.59596,-4.0854,-0.8537,0.9756,+Z_down,CALIB
340,0.38786,0.14126,9.57202,-4.0244,-0.9146,0.4268,+Z_down,CALIB
360,0.36631,0.16281,9.63427,-3.9024,-0.6098,0.5488,+Z_down,CALIB
380,0.34955,0.16281,9.63427,-3.9634,-0.1829,0.9146,+Z_down,CALIB
400,0.26815,0.16759,9.6606,-4.0854,0.2439,0.8537,+Z_down,CALIB
420,0.28252,0.13886,9.61033,-4.3293,-0.3049,0.3659,+Z_down,CALIB
440,0.33998,0.14365,9.59835,-4.3902,-0.9756,0.4878,+Z_down,CALIB
460,0.3735,0.14365,9.61033,-4.3902,-1.0976,0.9756,+Z_down,CALIB
480,0.34955,0.14365,9.61511,-4.2683,-0.7317,1.0976,+Z_down,CALIB
500,0.29209,0.13886,9.59357,-4.2073,-0.5488,1.4634,+Z_down,CALIB
520,0.33279,0.14605,9.61272,-4.0854,-1.0366,1.2195,+Z_down,CALIB
540,0.33758,0.15083,9.60314,-3.9024,-1.4634,0.9146,+Z_down,CALIB
560,0.35434,0.1652,9.59835,-3.9634,-1.2195,0.7927,+Z_down,CALIB
580,0.32801,0.15083,9.60314,-3.9634,-0.9146,1.2195,+Z_down,CALIB
600,0.31843,0.15323,9.63666,-3.9024,-1.1585,1.9512,+Z_down,CALIB
620,0.27294,0.16041,9.67976,-3.5976,-1.5854,2.5,+Z_down,CALIB
640,0.29688,0.15323,9.6199,-3.5976,-2.1951,2.1951,+Z_down,CALIB
660,0.34716,0.15083,9.58638,-3.7195,-2.7439,1.4024,+Z_down,CALIB
680,0.35195,0.1652,9.6199,-3.7195,-2.7439,0.9756,+Z_down,CALIB
700,0.35195,0.14605,9.60314,-3.7805,-2.622,0.7927,+Z_down,CALIB
