timestamp,ax,ay,az,gx,gy,gz,label,subject_id
0,10.20888,-0.34477,0.20351,-9.3293,-2.6829,0.8537,-X_up,CALIB
20,10.16099,-0.37589,0.1245,-8.7805,-1.2805,2.0732,-X_up,CALIB
40,10.19691,-0.3304,0.15083,-7.378,-0.3049,1.4024,-X_up,CALIB
60,10.14902,-0.27054,0.28252,-6.5854,-0.1829,0.7317,-X_up,CALIB
80,10.1562,-0.29688,0.24421,-7.0732,0.2439,-0.7927,-X_up,CALIB
100,10.25676,-0.26815,0.27773,-7.1951,0.6707,-2.0122,-X_up,CALIB
120,10.24958,-0.28012,0.15562,-6.9512,0.6098,-1.8902,-X_up,CALIB
140,10.24,-0.22027,0.26576,-5.7317,1.0976,-1.4024,-X_up,CALIB
160,10.13944,-0.15802,0.37589,-6.1585,3.2317,0.2439,-X_up,CALIB
180,10.09874,-0.25379,0.26097,-7.9268,5.6098,1.1585,-X_up,CALIB
200,10.08198,-0.32801,0.27773,-7.7439,6.3415,0.7317,-X_up,CALIB
220,10.16817,-0.33279,0.36631,-6.2195,4.878,0.6707,-X_up,CALIB
240,10.17536,-0.24181,0.5387,-4.878,2.8049,1.4634,-X_up,CALIB
260,10.14423,-0.25618,0.38786,-5.3659,1.0976,2.1341,-X_up,CALIB
280,10.21606,-0.23224,0.35434,-5.4878,0.5488,2.439,-X_up,CALIB
300,10.16099,-0.28491,0.28252,-5.6098,1.2805,2.9878,-X_up,CALIB
320,10.15381,-0.29928,0.36871,-5.1829,2.0732,2.8659,-X_up,CALIB
340,10.20169,-0.24181,0.55545,-5.122,2.439,2.3171,-X_up,CALIB
360,10.12508,-0.26097,0.4956,-6.4634,2.1951,2.8659,-X_up,CALIB
380,10.1179,-0.27294,0.49321,-7.6829,1.3415,3.4146,-X_up,CALIB
400,10.1586,-0.34716,0.38307,-8.5976,1.0976,3.7805,-X_up,CALIB
420,10.16578,-0.40701,0.30885,-8.1098,1.5854,4.0244,-X_up,CALIB
440,10.10353,-0.33519,0.49799,-6.6463,1.5854,3.3537,-X_up,CALIB
460,10.09156,-0.30646,0.5794,-7.3171,0.5488,2.2561,-X_up,CALIB
480,10.14663,-0.33519,0.49081,-9.3293,0.6098,2.561,-X_up,CALIB
500,10.18254,-0.41899,0.3735,-9.2683,1.5244,2.622,-X_up,CALIB
520,10.18015,-0.42377,0.43574,-7.439,2.5,3.0488,-X_up,CALIB
540,10.12029,-0.37828,0.53391,-6.0366,2.9268,3.6585,-X_up,CALIB
560,10.09874,-0.43096,0.54348,-6.8293,2.8049,2.439,-X_up,CALIB
580,10.13466,-0.46208,0.54348,-6.7073,2.7439,2.1951,-X_up,CALIB
600,10.20409,-0.45011,0.49799,-6.3415,2.5,2.439,-X_up,CALIB
620,10.16339,-0.36871,0.52912,-5.3049,2.3171,2.5,-X_up,CALIB
640,10.17536,-0.4142,0.55067,-4.7561,1.5854,1.1585,-X_up,CALIB
660,10.14184,-0.44293,0.61052,-4.7561,1.9512,0.061,-X_up,CALIB
680,10.08917,-0.37589,0.56503,-5.5488,3.9024,0.1829,-X_up,CALIB
700,10.11311,-0.36631,0.59855,-5.1829,4.5122,-1.2195,-X_up,CALIB
720,10.21845,-0.40462,0.67038,-5.6098,3.6585,-2.1951,-X_up,CALIB
740,10.16578,-0.41899,0.7422,-6.2805,2.9268,-0.4878,-X_up,CALIB
760,10.21366,-0.44293,0.73502,-6.2805,0.6098,1.0976,-X_up,CALIB
780,10.13226,-0.44772,0.71826,-5.8537,-1.2805,1.3415,-X_up,CALIB
800,10.17775,-0.43096,0.67995,-6.4634,-0.3049,1.2805,-X_up,CALIB
820,10.1155,-0.4525,0.56743,-7.5,1.8902,1.1585,-X_up,CALIB
840,10.09874,-0.43814,0.60573,-7.622,4.1463,0.6707,-X_up,CALIB
860,10.09635,-0.4142,0.75178,-6.2195,3.2317,0.2439,-X_up,CALIB
880,10.11071,-0.37828,0.85473,-4.878,-0.061,0.6098,-X_up,CALIB
900,10.13226,-0.46448,0.69432,-5.0,-2.9878,1.0366,-X_up,CALIB
920,10.07241,-0.46926,0.53151,-4.6341,-2.8049,0.4878,-X_up,CALIB
940,10.12747,-0.39025,0.66319,-3.5976,-2.0122,-1.2805,-X_up,CALIB
960,10.09635,-0.35434,0.7853,-3.3537,-1.4024,-1.1585,-X_up,CALIB
980,10.10114,-0.29209,0.91219,-3.6585,-1.0366,0.4268,-X_up,CALIB
1000,10.08438,-0.34477,0.84276,-4.3902,-2.7439,2.1951,-X_up,CALIB
1020,10.17296,-0.41659,0.66559,-5.122,-4.5122,2.8659,-X_up,CALIB
1040,10.19691,-0.51236,0.54348,-4.878,-4.2683,3.4146,-X_up,CALIB
1060,10.16817,-0.50039,0.63446,-4.2073,-1.6463,4.2683,-X_up,CALIB
1080,9.93594,-0.47166,0.7015,-4.2073,-0.3049,4.2683,-X_up,CALIB
1100,10.09395,-0.51236,0.65841,-5.1829,-2.2561,2.7439,-X_up,CALIB
1120,10.18254,-0.49321,0.67995,-5.3049,-4.0244,1.4024,-X_up,CALIB
1140,10.23761,-0.46687,0.65362,-4.6341,-4.6341,1.4024,-X_up,CALIB
1160,10.07241,-0.4142,0.61531,-4.0244,-4.3293,2.2561,-X_up,CALIB
1180,9.97185,-0.42856,0.62728,-4.0244,-3.1707,2.1341,-X_up,CALIB
1200,10.09395,-0.48602,0.6201,-4.5122,-2.5,1.3415,-X_up,CALIB
