timestamp,ax,ay,az,gx,gy,gz,label,subject_id
0,-0.69432,-9.80426,-0.84755,-5.2439,-0.4878,-0.2439,-Y_up,CALIB
20,-0.72784,-9.87608,-0.89304,-6.1585,1.0976,-0.6707,-Y_up,CALIB
40,-0.64404,-9.86651,-0.74939,-3.1707,2.3171,-0.4878,-Y_up,CALIB
60,-0.69911,-9.91918,-0.82121,-2.6829,2.9268,0.8537,-Y_up,CALIB
80,-0.72065,-9.91199,-0.826,-1.5244,2.8659,-0.7317,-Y_up,CALIB
100,-0.67995,-9.85453,-0.74699,0.3049,3.4756,-2.8049,-Y_up,CALIB
120,-0.65362,-9.87369,-0.67038,-1.5244,4.8171,-3.3537,-Y_up,CALIB
140,-0.577,-9.85693,-0.56503,-3.7195,5.5488,-2.2561,-Y_up,CALIB
160,-0.61292,-9.91199,-0.68953,-3.7195,4.6951,0.9146,-Y_up,CALIB
180,-0.67038,-9.94073,-0.80924,-1.3415,3.2927,1.1585,-Y_up,CALIB
200,-0.6608,-9.81144,-0.78051,1.8293,2.9878,-1.5244,-Y_up,CALIB
220,-0.54109,-9.75398,-0.577,0.9756,3.2927,-3.1098,-Y_up,CALIB
240,-0.52912,-9.81862,-0.63686,-3.9024,2.9268,-2.0732,-Y_up,CALIB
260,-0.61292,-9.84496,-0.77812,-7.378,2.3171,-0.3049,-Y_up,CALIB
280,-0.58179,-9.8282,-0.71587,-8.4146,2.1341,0.9756,-Y_up,CALIB
300,-0.60573,-9.87369,-0.69911,-10.6707,2.561,2.1341,-Y_up,CALIB
320,-0.61531,-9.89763,-0.75896,-10.1829,1.7683,1.2195,-Y_up,CALIB
340,-0.60813,-9.87129,-0.82121,-7.622,0.5488,0.122,-Y_up,CALIB
360,-0.64643,-9.80426,-0.85473,-7.0732,0.6098,0.3659,-Y_up,CALIB
380,-0.60573,-9.88326,-0.69671,-11.0366,1.4634,0.4878,-Y_up,CALIB
400,-0.6177,-9.87848,-0.78769,-13.0488,1.0366,1.5244,-Y_up,CALIB
420,-0.577,-9.84496,-0.86431,-12.0122,-0.2439,2.378,-Y_up,CALIB
440,-0.62249,-9.90721,-0.9481,-12.2561,-0.4268,1.9512,-Y_up,CALIB
460,-0.65841,-9.97424,-0.98881,-8.4756,-0.9756,1.2195,-Y_up,CALIB
480,-0.64883,-9.88566,-0.93613,-1.5854,-1.8902,0.8537,-Y_up,CALIB
500,-0.61531,-9.83538,-0.84276,0.7317,-2.1951,1.4634,-Y_up,CALIB
520,-0.59376,-9.84256,-0.81403,-0.4878,-2.0732,2.2561,-Y_up,CALIB
540,-0.62249,-9.84256,-0.9074,-1.2805,-1.8902,3.4146,-Y_up,CALIB
560,-0.63686,-9.83299,-0.83797,-1.7683,-1.2805,3.4756,-Y_up,CALIB
