timestamp,ax,ay,az,gx,gy,gz,label,subject_id
0,0.59616,-0.34237,-10.36929,4.7561,-3.5366,2.9268,-Z_up,CALIB
20,0.58897,-0.36152,-10.3645,1.5244,-3.0488,2.0122,-Z_up,CALIB
40,0.56743,-0.35913,-10.37168,-2.1341,-3.7195,1.0366,-Z_up,CALIB
60,0.56982,-0.35434,-10.34295,-4.939,-5.061,0.3049,-Z_up,CALIB
80,0.54348,-0.33519,-10.35253,-6.2805,-7.2561,-0.1829,-Z_up,CALIB
100,0.51715,-0.33998,-10.37408,-5.1829,-7.8049,-0.2439,-Z_up,CALIB
120,0.50518,-0.34955,-10.37408,-4.3902,-6.4024,-0.2439,-Z_up,CALIB
140,0.49799,-0.35913,-10.37647,-5.0,-5.061,-0.061,-Z_up,CALIB
160,0.48842,-0.33998,-10.37647,-5.6707,-4.878,0.122,-Z_up,CALIB
180,0.46926,-0.33998,-10.37886,-6.4024,-5.7317,0.3659,-Z_up,CALIB
200,0.44772,-0.32082,-10.38365,-7.2561,-6.1585,0.4878,-Z_up,CALIB
220,0.42856,-0.30885,-10.37168,-6.8902,-5.2439,0.4268,-Z_up,CALIB
240,0.41899,-0.30646,-10.36689,-5.9146,-4.1463,0.3659,-Z_up,CALIB
260,0.4142,-0.31125,-10.35971,-5.6707,-3.8415,0.3049,-Z_up,CALIB
280,0.4118,-0.29928,-10.37886,-5.4268,-3.3537,0.3659,-Z_up,CALIB
300,0.39744,-0.29928,-10.37408,-5.2439,-3.3537,0.6098,-Z_up,CALIB
320,0.38307,-0.29928,-10.37168,-5.3659,-3.1707,0.7927,-Z_up,CALIB
340,0.38068,-0.27773,-10.37408,-5.061,-1.8902,0.7927,-Z_up,CALIB
360,0.39025,-0.2897,-10.38126,-4.2073,-0.7927,0.9146,-Z_up,CALIB
380,0.39983,-0.29928,-10.37647,-3.9024,-1.6463,0.9756,-Z_up,CALIB
400,0.38307,-0.29449,-10.37168,-4.8171,-3.9024,0.9146,-Z_up,CALIB
420,0.35913,-0.2873,-10.39084,-5.7927,-5.0,0.7927,-Z_up,CALIB
440,0.35195,-0.28252,-10.38844,-5.9756,-4.0244,0.8537,-Z_up,CALIB
460,0.34716,-0.28252,-10.38605,-5.6098,-2.1951,1.0976,-Z_up,CALIB
480,0.35434,-0.27773,-10.3645,-5.3659,-1.6463,1.2805,-Z_up,CALIB
500,0.34716,-0.27054,-10.35971,-4.8171,-2.1951,1.2195,-Z_up,CALIB
520,0.34237,-0.25857,-10.37408,-3.4756,-2.1951,0.8537,-Z_up,CALIB
540,0.33758,-0.27533,-10.37408,-2.1341,-1.9512,0.6707,-Z_up,CALIB
560,0.33998,-0.28252,-10.36929,-1.9512,-1.9512,0.7317,-Z_up,CALIB
580,0.33279,-0.2897,-10.37647,-2.7439,-1.7683,0.7927,-Z_up,CALIB
600,0.33279,-0.29688,-10.37408,-3.8415,-0.3659,0.8537,-Z_up,CALIB
620,0.34716,-0.30646,-10.3645,-4.4512,1.0366,1.0366,-Z_up,CALIB
640,0.34477,-0.30646,-10.36929,-5.6098,0.122,0.8537,-Z_up,CALIB
660,0.34477,-0.2897,-10.37168,-6.7683,-1.5854,0.5488,-Z_up,CALIB
680,0.33998,-0.27533,-10.38126,-6.9512,-2.561,0.3659,-Z_up,CALIB
700,0.34237,-0.27054,-10.38605,-5.7927,-2.1951,0.3659,-Z_up,CALIB
720,0.35195,-0.27054,-10.37886,-4.5732,-0.9146,0.5488,-Z_up,CALIB
740,0.35913,-0.26815,-10.37647,-4.2683,-0.4878,0.6098,-Z_up,CALIB
760,0.34716,-0.26576,-10.38126,-4.5122,-1.2195,0.6707,-Z_up,CALIB
780,0.34477,-0.27773,-10.37647,-4.2073,-1.7683,0.5488,-Z_up,CALIB
800,0.33998,-0.27773,-10.38365,-3.8415,-2.439,0.2439,-Z_up,CALIB
820,0.34477,-0.27294,-10.38126,-4.0244,-2.8659,-0.061,-Z_up,CALIB
840,0.3304,-0.26815,-10.38844,-4.1463,-3.2317,-0.1829,-Z_up,CALIB
860,0.31843,-0.26815,-10.38605,-3.8415,-3.4756,-0.122,-Z_up,CALIB
880,0.31603,-0.27533,-10.38605,-3.4756,-2.9878,0.3659,-Z_up,CALIB
900,0.30406,-0.28252,-10.37408,-3.8415,-2.622,0.7317,-Z_up,CALIB
920,0.30406,-0.27773,-10.37886,-4.5122,-3.2317,0.6707,-Z_up,CALIB
940,0.30167,-0.27294,-10.38365,-4.3902,-3.7195,0.4878,-Z_up,CALIB
960,0.29449,-0.27773,-10.38365,-3.7805,-3.3537,0.5488,-Z_up,CALIB
980,0.2873,-0.28252,-10.37647,-3.3537,-2.8049,0.6707,-Z_up,CALIB
1000,0.28252,-0.2897,-10.37168,-3.1098,-2.5,0.7317,-Z_up,CALIB
1020,0.27773,-0.29209,-10.35732,-2.7439,-2.378,0.7927,-Z_up,CALIB
1040,0.27054,-0.29449,-10.36689,-3.0488,-3.2927,0.5488,-Z_up,CALIB
1060,0.26097,-0.29449,-10.36211,-3.6585,-4.878,0.122,-Z_up,CALIB
1080,0.24421,-0.29449,-10.38365,-3.9024,-5.7927,0.0,-Z_up,CALIB
1100,0.23703,-0.29688,-10.38365,-4.2683,-5.4268,0.3049,-Z_up,CALIB
1120,0.22266,-0.29928,-10.38605,-4.939,-5.061,0.3659,-Z_up,CALIB
1140,0.2059,-0.29209,-10.38605,-5.3659,-4.3902,0.4878,-Z_up,CALIB
1160,0.20351,-0.29688,-10.38844,-5.3049,-2.0732,0.9146,-Z_up,CALIB
1180,0.21548,-0.29688,-10.38126,-5.7927,0.6098,1.4024,-Z_up,CALIB
1200,0.22266,-0.28252,-10.38365,-7.0122,0.9146,1.5244,-Z_up,CALIB
1220,0.22266,-0.27533,-10.37647,-7.8659,-1.1585,1.3415,-Z_up,CALIB
1240,0.21308,-0.2466,-10.38126,-8.2317,-2.439,1.1585,-Z_up,CALIB
1260,0.2083,-0.23703,-10.37647,-7.8049,-1.8293,1.0366,-Z_up,CALIB
1280,0.20111,-0.23224,-10.37886,-7.1341,-1.4024,0.7927,-Z_up,CALIB
1300,0.19393,-0.21548,-10.38605,-5.8537,-2.1341,0.6098,-Z_up,CALIB
1320,0.19393,-0.22027,-10.38126,-4.3902,-2.2561,0.6707,-Z_up,CALIB
1340,0.2059,-0.22505,-10.38365,-4.6341,-0.9756,1.0976,-Z_up,CALIB
1360,0.2083,-0.21548,-10.37647,-5.8537,-0.061,1.2195,-Z_up,CALIB
1380,0.22027,-0.2083,-10.38605,-5.7927,-0.2439,1.0976,-Z_up,CALIB
1400,0.21308,-0.21069,-10.38844,-4.5122,-1.4024,0.8537,-Z_up,CALIB
1420,0.20111,-0.21308,-10.38844,-2.8049,-2.8659,0.5488,-Z_up,CALIB
1440,0.20351,-0.22505,-10.38605,-1.7683,-2.9268,0.4268,-Z_up,CALIB
1460,0.19872,-0.23463,-10.37647,-1.5854,-2.1951,0.6098,-Z_up,CALIB
1480,0.20111,-0.23942,-10.38126,-1.8902,-2.1951,0.6098,-Z_up,CALIB
1500,0.19632,-0.25379,-10.37647,-2.2561,-2.622,0.5488,-Z_up,CALIB
1520,0.18675,-0.25618,-10.37408,-2.8049,-2.561,0.6098,-Z_up,CALIB
1540,0.17957,-0.25857,-10.38365,-3.5366,-2.2561,0.6707,-Z_up,CALIB
1560,0.17717,-0.26097,-10.38126,-4.0854,-1.9512,0.6707,-Z_up,CALIB
1580,0.16041,-0.25857,-10.38365,-4.2683,-2.1341,0.4268,-Z_up,CALIB
1600,0.16041,-0.25379,-10.37647,-4.0244,-2.8659,0.061,-Z_up,CALIB
1620,0.15323,-0.25379,-10.37886,-3.3537,-3.3537,-0.122,-Z_up,CALIB
1640,0.15083,-0.26336,-10.36689,-2.8049,-2.8049,0.061,-Z_up,CALIB
1660,0.15323,-0.27054,-10.36689,-3.2927,-2.0122,0.3049,-Z_up,CALIB
1680,0.15083,-0.26097,-10.37647,-4.0244,-1.8902,0.3659,-Z_up,CALIB
1700,0.14844,-0.25618,-10.38365,-4.0854,-2.1341,0.3049,-Z_up,CALIB
1720,0.14844,-0.26576,-10.39323,-3.5366,-2.1951,0.3659,-Z_up,CALIB
1740,0.14605,-0.27773,-10.38605,-3.5976,-1.6463,0.4878,-Z_up,CALIB
1760,0.13886,-0.27294,-10.38605,-4.6951,-1.2195,0.5488,-Z_up,CALIB
1780,0.13886,-0.26336,-10.38365,-6.0976,-1.0366,0.5488,-Z_up,CALIB
1800,0.14365,-0.25618,-10.38844,-6.6463,-0.3659,0.7317,-Z_up,CALIB
1820,0.14844,-0.25139,-10.38605,-6.6463,0.2439,0.8537,-Z_up,CALIB
1840,0.15323,-0.24181,-10.37647,-6.7683,-0.1829,0.6707,-Z_up,CALIB
1860,0.15083,-0.22745,-10.36929,-6.3415,-0.6098,0.4268,-Z_up,CALIB
1880,0.14844,-0.23703,-10.37408,-5.7317,-1.2195,0.1829,-Z_up,CALIB
1900,0.15323,-0.22505,-10.37647,-5.9146,-1.5244,0.1829,-Z_up,CALIB
1920,0.15562,-0.21548,-10.39562,-6.2195,-0.9146,0.4268,-Z_up,CALIB
1940,0.15562,-0.2059,-10.39084,-6.2195,-0.5488,0.4268,-Z_up,CALIB
1960,0.15323,-0.20111,-10.38605,-6.0366,-0.9756,0.122,-Z_up,CALIB
1980,0.16281,-0.20111,-10.38844,-5.122,-1.4024,-0.122,-Z_up,CALIB
2000,0.15323,-0.21069,-10.37886,-4.6341,-2.0122,0.4268,-Z_up,CALIB
2020,0.15323,-0.2059,-10.37886,-5.122,-2.3171,0.7927,-Z_up,CALIB
2040,0.13886,-0.19393,-10.38126,-5.9756,-1.8902,1.0366,-Z_up,CALIB
2060,0.13647,-0.18196,-10.38365,-6.8902,-1.4024,0.9756,-Z_up,CALIB
2080,0.1245,-0.17238,-10.38844,-6.9512,-1.4634,1.0366,-Z_up,CALIB
2100,0.13168,-0.1652,-10.37886,-5.8537,-1.0366,1.3415,-Z_up,CALIB
2120,0.14126,-0.16041,-10.39084,-4.8171,0.4268,1.7683,-Z_up,CALIB
2140,0.15562,-0.16041,-10.39084,-4.5732,1.7073,2.1951,-Z_up,CALIB
2160,0.17717,-0.16759,-10.36929,-4.5732,2.3171,2.5,-Z_up,CALIB
2180,0.19393,-0.17238,-10.35732,-4.8171,2.5,2.1951,-Z_up,CALIB
