>>>
>>>
>>>
>>> from main import *
I2C devices: ['0x1e', '0x68']
MPU6050 OK @ 0x68  [+/-8g, +/-2000dps, 50Hz]
HMC5883L OK @ 0x1E  [+/-1.3Ga, 15Hz, 8-avg]
# Ready. 9-channel HAR firmware.
#   test()               — single reading
#   calibrate_mag(sec)   — mag ellipsoid data collection
#   collect('label', sec)  — activity data collection
>>>
calibrate_mag(60)
# MAG_CALIB 60s 3000samples
# sample,mx,my,mz
0,-8.8073,21.2844,-10.1835
1,-8.8073,21.2844,-10.1835
2,-8.8073,21.2844,-10.1835
3,-10.0000,20.8257,-8.7156
4,-10.0000,20.8257,-8.7156
5,-10.0000,20.8257,-8.7156
6,-12.5688,20.0000,-6.2385
7,-12.5688,20.0000,-6.2385
8,-12.5688,20.0000,-6.2385
9,-17.8899,17.6147,1.1927
10,-17.8899,17.6147,1.1927
11,-17.8899,17.6147,1.1927
12,-17.8899,17.6147,1.1927
13,-21.6514,13.3945,5.5963
14,-21.6514,13.3945,5.5963
15,-21.6514,13.3945,5.5963
16,-24.5872,7.6147,8.8991
17,-24.5872,7.6147,8.8991
18,-24.5872,7.6147,8.8991
19,-25.8716,-4.2202,13.0275
20,-25.8716,-4.2202,13.0275
21,-25.8716,-4.2202,13.0275
22,-25.8716,-4.2202,13.0275
23,-21.5596,-20.6422,13.7615
24,-21.5596,-20.6422,13.7615
25,-21.5596,-20.6422,13.7615
26,-12.9358,-33.0275,8.1651
27,-12.9358,-33.0275,8.1651
28,-12.9358,-33.0275,8.1651
29,-5.1376,-37.7982,4.7706
30,-5.1376,-37.7982,4.7706
31,-5.1376,-37.7982,4.7706
32,-5.1376,-37.7982,4.7706
33,6.8807,-39.7248,-2.2936
34,6.8807,-39.7248,-2.2936
35,6.8807,-39.7248,-2.2936
36,18.5321,-33.8532,-11.9266
37,18.5321,-33.8532,-11.9266
38,18.5321,-33.8532,-11.9266
39,24.4037,-25.5963,-17.0642
40,24.4037,-25.5963,-17.0642
