I2C scan: ['0x68']
MPU6050 OK @ 0x68, +/-8g, +/-2000dps, 50Hz
# Ready.
# Commands: test(), collect('<label>', seconds)
MicroPython v1.24.1 on 2024-11-29; Generic ESP32S3 module with ESP32S3
Type "help()" for more information.
>>> ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3820,len:0x105c
load:0x403c9700,len:0x4
load:0x403c9704,len:0xbd8
load:0x403cc700,len:0x2e34
entry 0x403c989c
[0;31mE (289) quad_psram: PSRAM ID read error: 0x00ffffff, PSRAM chip not found or not supported, or wrong PSRAM line mode[0m
[0;31mE (289) esp_psram: PSRAM enabled but initialization failed. Bailing out.[0m
I2C scan: ['0x68']
MPU6050 OK @ 0x68, +/-8g, +/-2000dps, 50Hz
# Ready.
# Commands: test(), collect('<label>', seconds)
MicroPython v1.24.1 on 2024-11-29; Generic ESP32S3 module with ESP32S3
Type "help()" for more information.
>>>
collect('+Z_down', 5)
# COLLECT +Z_down 5s 250samples
# sample,ax,ay,az,gx,gy,gz,label
0,0.33758,0.11732,9.59835,-4.4512,-0.3049,3.2317,+Z_down
1,0.37110,0.12689,9.62230,-4.2073,-0.7317,3.6585,+Z_down
2,0.39504,0.13168,9.64145,-4.0854,-0.5488,3.8415,+Z_down
3,0.38068,0.12450,9.58160,-4.2073,0.0610,3.1707,+Z_down
4,0.39025,0.13168,9.57202,-4.0244,-0.1220,2.6829,+Z_down
5,0.38307,0.14365,9.61990,-3.9024,-0.4878,2.2561,+Z_down
6,0.33998,0.14605,9.64384,-3.9024,-0.5488,1.9512,+Z_down
7,0.34477,0.13886,9.63187,-4.0854,-0.4878,1.2805,+Z_down
8,0.32322,0.12929,9.59117,-4.0854,-0.6707,1.1585,+Z_down
9,0.35434,0.15083,9.61990,-3.9634,-1.1585,1.0976,+Z_down
10,0.35434,0.17238,9.62948,-3.9634,-1.0976,1.5244,+Z_down
11,0.34237,0.14844,9.61990,-4.0244,-1.0366,2.1341,+Z_down
12,0.37589,0.12689,9.59117,-4.2073,-0.9146,1.4024,+Z_down
13,0.34477,0.13408,9.62230,-4.0854,-0.8537,1.4024,+Z_down
14,0.34237,0.14844,9.61990,-4.0854,-0.7927,1.0976,+Z_down
15,0.36152,0.15562,9.60793,-4.1463,-0.7317,0.6707,+Z_down
16,0.35434,0.16041,9.59596,-4.0854,-0.8537,0.9756,+Z_down
17,0.38786,0.14126,9.57202,-4.0244,-0.9146,0.4268,+Z_down
18,0.36631,0.16281,9.63427,-3.9024,-0.6098,0.5488,+Z_down
19,0.34955,0.16281,9.63427,-3.9634,-0.1829,0.9146,+Z_down
20,0.26815,0.16759,9.66060,-4.0854,0.2439,0.8537,+Z_down
21,0.28252,0.13886,9.61033,-4.3293,-0.3049,0.3659,+Z_down
22,0.33998,0.14365,9.59835,-4.3902,-0.9756,0.4878,+Z_down
23,0.37350,0.14365,9.61033,-4.3902,-1.0976,0.9756,+Z_down
24,0.34955,0.14365,9.61511,-4.2683,-0.7317,1.0976,+Z_down
25,0.29209,0.13886,9.59357,-4.2073,-0.5488,1.4634,+Z_down
26,0.33279,0.14605,9.61272,-4.0854,-1.0366,1.2195,+Z_down
27,0.33758,0.15083,9.60314,-3.9024,-1.4634,0.9146,+Z_down
28,0.35434,0.16520,9.59835,-3.9634,-1.2195,0.7927,+Z_down
29,0.32801,0.15083,9.60314,-3.9634,-0.9146,1.2195,+Z_down
30,0.31843,0.15323,9.63666,-3.9024,-1.1585,1.9512,+Z_down
31,0.27294,0.16041,9.67976,-3.5976,-1.5854,2.5000,+Z_down
32,0.29688,0.15323,9.61990,-3.5976,-2.1951,2.1951,+Z_down
33,0.34716,0.15083,9.58638,-3.7195,-2.7439,1.4024,+Z_down
34,0.35195,0.16520,9.61990,-3.7195,-2.7439,0.9756,+Z_down
35,0.35195,0.14605,9.60314,-3.7805,-2.6220,0.7927,+Z_down
36,0.35434,0.13408,9.59357,-3.8415,-2.5610,0.6098,+Z_down
37,0.36871,0.17238,9.61990,-3.7805,-2.3780,0.7317,+Z_down
38,0.39504,0.19872,9.61033,-3.7805,-2.0732,0.6098,+Z_down
