timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.345665094251792,-16.6284508339832,38.1358620244358,6,S02
20,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.658407673052782,-17.38448161693907,38.71663834683782,6,S02
40,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.918354308164375,-15.732415838623766,38.51040791223944,6,S02
60,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.50824802124503,-16.264941607870334,38.61967545696763,6,S02
80,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.03222902509714,-16.97686500932131,38.09538792466644,6,S02
100,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.75659999943073,-17.236173647084733,37.002811046762055,6,S02
120,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.395497696242458,-16.75417206139953,38.27101297372199,6,S02
140,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.68340278296199,-17.074201545508643,38.13793246036652,6,S02
160,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.071979182660893,-16.67693611066086,38.07812652239725,6,S02
180,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.47356487085958,-15.391140588369197,38.61232911780463,6,S02
200,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.813280583077095,-17.860962179052073,37.943722296648886,6,S02
220,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.090685305059008,-16.268845248677763,38.37151951790581,6,S02
240,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.407209319652516,-16.398390603616562,38.12975762338164,6,S02
260,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.28827840298621,-16.701657584141206,38.577677832257436,6,S02
280,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.129802018859063,-17.728825548506123,38.830538199653205,6,S02
300,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.2509528078715,-16.480405449697557,37.84704867635196,6,S02
320,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.067552619665143,-17.141994225729228,38.45559319379437,6,S02
340,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.16770645636809,-17.72184063064453,38.02540810048873,6,S02
360,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.186290012308604,-16.991765586501955,38.67137517207956,6,S02
380,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.361110325183216,-16.484688981112484,37.556988248410676,6,S02
400,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.273179272817046,-16.471926218773532,37.87540700234831,6,S02
420,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.583090978629002,-15.853360242616226,37.58611632177758,6,S02
440,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.52244901271956,-17.03585685015739,38.231925699382295,6,S02
460,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.326326584653525,-16.34523151881978,37.863821954963875,6,S02
480,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.000197265845667,-17.20156882827746,38.527828364390096,6,S02
500,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,28.944366452499235,-17.117433833172075,38.15061830501811,6,S02
520,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.466510184645195,-16.257146109136187,38.50720702057959,6,S02
540,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.447171943557443,-16.41888804836214,37.71470842852699,6,S02
560,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.05798900385306,-16.01116680182764,37.682931476503924,6,S02
580,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.950225068082002,-16.72133890431735,37.915705233471755,6,S02
600,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.328634218265382,-15.140254879796213,38.31615586452827,6,S02
620,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.767209125922893,-16.573817416828685,38.26052040068843,6,S02
640,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,28.863107802426303,-16.52556539520524,38.12810975828532,6,S02
660,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.860554855028333,-16.20081702497808,37.866048967818365,6,S02
680,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.067316845185523,-15.872523055306978,37.72082251331485,6,S02
700,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.14042849551974,-17.156468803611197,38.03671247257779,6,S02
720,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,28.89977938750897,-17.216682161725487,38.1629615443259,6,S02
740,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.186191868520744,-16.887706714621203,38.2287333927548,6,S02
760,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.034808904987766,-17.01229165537965,38.24195622595173,6,S02
780,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.425030667625126,-17.607326178866515,37.74704023559771,6,S02
800,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.907284498013524,-16.714888408656954,38.018556630736555,6,S02
820,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.475010115634156,-16.521070682925085,38.00418737528939,6,S02
840,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,28.711725755513996,-16.424661052641028,38.597041093347144,6,S02
860,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.80301418950945,-17.565714274948313,39.06731198231228,6,S02
880,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,28.74780187257972,-17.056385280256755,37.624862178158104,6,S02
900,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.99229781458847,-16.72672627736411,38.0371395723164,6,S02
920,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,30.236027727419913,-15.745883684367959,37.76137710632897,6,S02
940,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.48574112054207,-16.67858321634072,38.617295086255865,6,S02
960,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.46860705618004,-16.496036112989827,38.0913977358154,6,S02
980,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.693443469460306,-16.08226377847528,37.92371494269492,6,S02
1000,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.502250077643627,-16.73567762426641,39.16334389855946,6,S02
1020,0.1,-0.07,10.145759109311742,-4.2,-1.2,0.6,29.907248908813482,-17.352111861237013,37.59589034644085,6,S02
