timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,-10.16578,-0.87388,1.54905,-29.8780,-1.8902,3.7805,36.33,18.62,12.39,3,S02
20,-9.83059,-1.86748,1.81959,-11.0366,4.1463,11.7683,36.33,18.62,12.39,3,S02
40,-9.47146,-1.72383,1.63763,6.5244,4.7561,13.9634,35.78,19.27,12.66,3,S02
60,-9.07163,-0.84036,1.30723,17.5000,5.0000,16.5854,35.78,19.27,12.66,3,S02
80,-8.84179,0.12929,1.12049,22.9878,9.1463,19.4512,35.78,19.27,12.66,3,S02
100,-8.88249,0.92177,0.93134,25.4268,12.9268,20.1829,35.78,19.27,12.66,3,S02
120,-8.82742,1.29287,0.79966,25.5488,14.2073,19.2073,34.50,20.18,13.30,3,S02
140,-8.78911,1.33357,0.82600,21.4634,13.6585,18.4146,34.50,20.18,13.30,3,S02
160,-8.91601,1.29526,1.13964,13.8415,13.8415,18.5366,34.50,20.18,13.30,3,S02
180,-8.95192,1.12288,1.51314,6.0976,12.3171,19.2683,33.67,21.01,13.30,3,S02
200,-8.86812,0.86431,1.71664,1.2195,9.5732,18.9024,33.67,21.01,13.30,3,S02
220,-8.76278,0.66559,1.78368,-1.0976,7.6220,17.3780,33.67,21.01,13.30,3,S02
240,-8.84658,0.60573,1.80044,-2.2561,6.8902,15.3659,33.30,21.65,13.12,3,S02
260,-8.94713,0.65122,1.83156,-2.8659,7.2561,14.0854,33.30,21.65,13.12,3,S02
280,-8.98065,0.65122,1.89381,-2.5000,8.5366,13.1707,33.30,21.65,13.12,3,S02
300,-8.93277,0.60573,1.82678,-1.2195,9.8171,11.4634,33.30,21.65,13.12,3,S02
320,-8.79630,0.73741,1.66636,-1.6463,10.4268,9.3902,32.84,22.29,12.84,3,S02
340,-8.72926,1.00796,1.70707,-5.1220,10.1829,8.2317,32.84,22.29,12.84,3,S02
360,-8.80109,1.23541,1.86987,-9.6341,9.6341,7.2561,32.84,22.29,12.84,3,S02
380,-8.75560,1.31681,1.86029,-12.9878,10.5488,5.3659,32.66,22.57,12.11,3,S02
400,-8.54730,1.15640,1.81959,-15.3049,12.5610,3.3537,32.66,22.57,12.11,3,S02
420,-8.64786,0.95529,1.91776,-16.8293,14.3902,1.4024,32.66,22.57,12.11,3,S02
440,-8.88488,0.92895,2.06141,-17.1341,15.3659,0.8537,32.94,22.75,11.01,3,S02
460,-9.16500,1.13725,1.99916,-17.9878,15.7317,1.5854,32.94,22.75,11.01,3,S02
480,-9.16261,1.01754,2.09732,-18.2927,16.2195,2.2561,32.94,22.75,11.01,3,S02
500,-9.04769,0.80445,2.09493,-15.3049,16.0976,1.5244,32.94,22.75,11.01,3,S02
520,-8.88967,0.69192,2.15478,-12.6220,17.1951,0.9146,32.94,22.94,10.18,3,S02
540,-8.82024,0.43335,2.40378,-8.5976,20.4878,1.2805,32.94,22.94,10.18,3,S02
560,-8.93756,0.11971,2.85868,-1.7683,24.3902,1.3415,32.94,22.94,10.18,3,S02
580,-9.08121,-0.02873,3.33512,6.0366,27.5000,0.1220,32.66,23.21,9.63,3,S02
600,-9.20571,0.13168,3.67749,14.2073,29.0854,-2.7439,32.66,23.21,9.63,3,S02
620,-9.23444,0.39504,3.80678,21.6463,28.8415,-5.8537,32.66,23.21,9.63,3,S02
640,-9.56962,0.84276,3.36625,27.9878,27.9878,-7.9878,32.57,23.12,9.91,3,S02
660,-11.11149,1.74058,2.17154,27.3780,26.7073,-7.0732,32.57,23.12,9.91,3,S02
680,-12.81856,2.53785,0.78769,21.8902,26.2805,2.1951,32.57,23.12,9.91,3,S02
700,-12.55519,1.87945,-0.25857,16.8902,27.0122,18.2317,32.57,23.12,9.91,3,S02
720,-11.29584,-0.35674,-0.36631,20.6098,27.6829,24.8780,31.28,24.04,9.82,3,S02
740,-10.78588,-2.22900,-0.96726,33.7805,21.7683,16.8902,31.28,24.04,9.82,3,S02
760,-10.69011,-1.70467,-1.67834,45.6707,11.7683,6.0976,31.28,24.04,9.82,3,S02
780,-10.74518,0.14365,-1.98958,50.4878,5.4268,-0.7927,30.64,23.76,11.38,3,S02
800,-10.37647,1.54905,-2.13084,46.3415,1.5244,-4.0244,30.64,23.76,11.38,3,S02
820,-10.00776,1.87227,-1.91536,36.0976,3.2927,-6.4634,30.64,23.76,11.38,3,S02
840,-9.64384,1.62087,-1.66636,23.7195,6.0366,-12.5610,31.01,22.94,11.47,3,S02
860,-9.09078,1.15161,-1.49159,12.2561,6.8293,-20.3049,31.01,22.94,11.47,3,S02
880,-8.58800,0.38786,-1.36230,6.2195,9.2683,-26.4634,31.01,22.94,11.47,3,S02
900,-8.40604,-0.06704,-1.15161,1.7073,11.8293,-30.0000,31.01,22.94,11.47,3,S02
920,-8.28873,-0.19154,-0.89783,-7.0122,10.7927,-30.5488,32.11,21.74,10.92,3,S02
940,-8.06367,-0.47645,-0.69192,-11.8902,9.6341,-29.6951,32.11,21.74,10.92,3,S02
960,-7.98706,-0.79248,-0.55785,-9.6951,8.4756,-29.3293,32.11,21.74,10.92,3,S02
980,-8.19296,-0.97923,-0.37350,-5.3049,8.5366,-29.4512,32.84,20.64,10.37,3,S02
1000,-8.46350,-0.91698,-0.08859,-1.5244,9.2073,-28.4756,32.84,20.64,10.37,3,S02
1020,-8.71250,-0.57940,0.13886,1.1585,6.5244,-25.7927,32.84,20.64,10.37,3,S02
1040,-8.66701,-0.15802,0.17957,1.8293,1.8902,-21.8902,33.30,19.91,10.55,3,S02
1060,-8.31985,0.05746,0.22027,1.5244,1.7073,-18.1707,33.30,19.91,10.55,3,S02
1080,-8.28633,-0.01437,0.56024,1.4634,5.1829,-15.9146,33.30,19.91,10.55,3,S02
1100,-8.37492,-0.04549,0.85473,0.2439,7.5610,-14.1463,33.30,19.91,10.55,3,S02
1120,-8.32703,0.06225,0.96247,-3.4146,10.3659,-12.7439,33.49,19.63,10.09,3,S02
1140,-8.25281,0.08619,1.09654,-7.0122,15.2439,-12.6220,33.49,19.63,10.09,3,S02
1160,-8.39168,-0.03591,1.36948,-9.6951,18.6585,-12.8659,33.49,19.63,10.09,3,S02
1180,-8.53533,-0.28970,1.59214,-12.1341,18.0488,-12.2561,33.94,19.45,9.27,3,S02
1200,-8.53772,-0.69671,1.63524,-13.1707,16.4024,-10.9146,33.94,19.45,9.27,3,S02
1220,-8.64067,-1.14203,1.43173,-12.2561,16.0976,-10.3659,33.94,19.45,9.27,3,S02
1240,-9.47386,-1.39821,0.95529,-8.4146,16.3415,-11.4634,34.04,18.99,8.53,3,S02
1260,-10.85770,-1.17316,1.17316,-7.3171,14.0854,-11.0366,34.04,18.99,8.53,3,S02
1280,-11.50893,-0.39744,2.19309,-13.5976,4.5732,-8.6585,34.04,18.99,8.53,3,S02
