timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,-9.37330,0.70629,1.47483,-3.3537,-1.9512,0.1220,27.80,24.68,-12.02,1,S02
20,-9.36372,0.69911,1.44370,-3.2927,-1.7683,0.1220,27.80,24.68,-12.02,1,S02
40,-9.37809,0.70150,1.42455,-3.3537,-1.5854,0.1220,27.80,24.68,-12.02,1,S02
60,-9.39245,0.70390,1.44131,-3.3537,-1.7073,0.2439,27.80,24.68,-12.02,1,S02
80,-9.37569,0.73263,1.44370,-3.3537,-2.1341,0.3659,27.89,24.68,-11.83,1,S02
100,-9.37569,0.75417,1.43413,-3.5976,-2.1951,0.3659,27.89,24.68,-11.83,1,S02
120,-9.36851,0.73263,1.43652,-3.9634,-2.1341,0.4268,27.89,24.68,-11.83,1,S02
140,-9.37330,0.68474,1.45328,-4.0244,-2.1341,0.4878,27.80,24.68,-11.93,1,S02
160,-9.37330,0.67277,1.46286,-3.7805,-2.3171,0.4878,27.80,24.68,-11.93,1,S02
180,-9.37809,0.68953,1.43652,-3.6585,-2.3780,0.5488,27.80,24.68,-11.93,1,S02
200,-9.35175,0.71826,1.43413,-3.7195,-2.2561,0.5488,27.89,24.86,-11.83,1,S02
220,-9.36612,0.72305,1.45567,-3.9024,-2.0122,0.5488,27.89,24.86,-11.83,1,S02
240,-9.38048,0.71826,1.45807,-3.8415,-1.8293,0.6098,27.89,24.86,-11.83,1,S02
260,-9.37330,0.71587,1.45807,-3.8415,-1.9512,0.6707,27.89,24.86,-11.83,1,S02
280,-9.35175,0.71826,1.44849,-4.0854,-2.0122,0.6707,27.89,24.77,-11.83,1,S02
300,-9.35175,0.71108,1.43173,-4.2683,-1.6463,0.6707,27.89,24.77,-11.83,1,S02
320,-9.36851,0.69671,1.42694,-4.2683,-1.4634,0.7317,27.89,24.77,-11.83,1,S02
340,-9.36851,0.72544,1.44849,-4.3293,-1.5244,0.7317,27.89,24.59,-11.83,1,S02
360,-9.35893,0.73023,1.47004,-4.3902,-1.5244,0.7927,27.89,24.59,-11.83,1,S02
380,-9.35415,0.71108,1.47483,-4.3293,-1.2195,0.8537,27.89,24.59,-11.83,1,S02
400,-9.34218,0.70390,1.43892,-4.2073,-0.8537,0.9146,27.89,24.86,-11.93,1,S02
420,-9.34936,0.73263,1.43652,-4.3293,-0.4878,0.9146,27.89,24.86,-11.93,1,S02
440,-9.37091,0.72784,1.43892,-4.4512,-0.0610,0.9756,27.89,24.86,-11.93,1,S02
