timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,-9.42118,0.67038,-1.63763,-3.5976,0.5488,0.9756,13.85,21.10,37.89,5,S01
20,-9.42837,0.67038,-1.64721,-3.2927,0.6098,0.9756,13.85,21.10,37.89,5,S01
40,-9.43555,0.67995,-1.65200,-3.2317,0.6098,0.9146,13.85,21.19,37.80,5,S01
60,-9.43316,0.68474,-1.68552,-3.4146,0.6098,0.7927,13.85,21.19,37.80,5,S01
80,-9.44034,0.68714,-1.67834,-3.5366,0.5488,0.6707,13.85,21.19,37.80,5,S01
100,-9.45710,0.69192,-1.66636,-3.5976,0.3049,0.6098,13.85,21.19,37.80,5,S01
120,-9.46189,0.69432,-1.70467,-3.7195,-0.1829,0.7317,13.76,21.28,37.71,5,S01
140,-9.44273,0.69911,-1.71664,-3.4756,-0.5488,0.7927,13.76,21.28,37.71,5,S01
160,-9.39964,0.71587,-1.69509,-3.1098,-0.9146,0.6098,13.76,21.28,37.71,5,S01
180,-9.37809,0.73023,-1.67115,-2.9878,-0.9146,0.4268,13.76,21.38,37.80,5,S01
200,-9.38288,0.71587,-1.67355,-3.2317,-0.5488,0.4878,13.76,21.38,37.80,5,S01
220,-9.40682,0.69192,-1.69270,-3.4756,-0.1829,0.6707,13.76,21.38,37.80,5,S01
240,-9.43555,0.71108,-1.69749,-3.7195,0.0000,0.7927,13.67,21.38,37.71,5,S01
260,-9.42358,0.82361,-1.65918,-4.2683,-0.0610,0.8537,13.67,21.38,37.71,5,S01
280,-9.36612,0.91459,-1.57299,-5.4268,-0.3049,1.0976,13.67,21.38,37.71,5,S01
300,-9.29908,0.85952,-1.55623,-6.5244,-0.5488,1.4024,13.67,21.38,37.71,5,S01
320,-9.30866,0.77333,-1.61848,-6.7073,-0.3049,1.7073,13.85,21.38,37.71,5,S01
340,-9.39006,0.73981,-1.67355,-6.1585,0.2439,2.1951,13.85,21.38,37.71,5,S01
360,-9.46428,0.73263,-1.65679,-5.6098,0.4268,2.9878,13.85,21.38,37.71,5,S01
380,-9.42358,0.80445,-1.61369,-3.9024,-1.0366,3.1098,13.76,21.56,37.71,5,S01
400,-9.44513,0.73263,-1.64482,-2.5610,-1.7073,3.1098,13.76,21.56,37.71,5,S01
420,-9.51216,0.67277,-1.69270,-1.3415,-2.7439,3.0488,13.76,21.56,37.71,5,S01
440,-9.60314,0.67756,-1.67834,-0.5488,-3.9024,2.8659,13.58,21.38,37.80,5,S01
460,-9.71567,0.73502,-1.63285,0.1220,-5.6098,2.2561,13.58,21.38,37.80,5,S01
480,-9.77074,0.89064,-1.53947,-0.0610,-7.5610,1.1585,13.58,21.38,37.80,5,S01
500,-9.69891,0.99838,-1.44610,-1.1585,-9.1463,-0.3659,13.58,21.38,37.80,5,S01
520,-9.56962,0.96247,-1.42694,-2.1951,-9.9390,-1.9512,13.49,21.10,37.98,5,S01
540,-9.49301,0.82600,-1.49877,-3.6585,-9.6951,-3.4146,13.49,21.10,37.98,5,S01
560,-9.46189,0.71347,-1.56820,-5.2439,-8.6585,-4.7561,13.49,21.10,37.98,5,S01
580,-9.41640,0.62489,-1.54665,-6.6463,-7.4390,-5.6707,13.76,20.55,38.26,5,S01
600,-9.29908,0.52672,-1.52989,-7.1951,-6.4634,-6.2805,13.76,20.55,38.26,5,S01
620,-9.24162,0.42377,-1.59214,-6.9512,-5.5488,-6.3415,13.76,20.55,38.26,5,S01
640,-9.23444,0.34237,-1.67594,-5.9756,-4.8780,-5.6707,14.04,20.37,38.17,5,S01
660,-9.28471,0.36631,-1.67594,-4.3293,-4.2073,-4.6341,14.04,20.37,38.17,5,S01
680,-9.32542,0.43335,-1.60890,-2.5000,-3.7805,-3.4756,14.04,20.37,38.17,5,S01
700,-9.30147,0.53630,-1.61369,-1.0366,-3.8415,-2.3780,14.04,20.37,38.17,5,S01
720,-9.28950,0.61052,-1.71904,0.1829,-3.7195,-1.5854,13.85,20.18,38.35,5,S01
740,-9.37330,0.68714,-1.85551,1.7683,-2.9268,-1.2195,13.85,20.18,38.35,5,S01
760,-9.48343,0.75657,-1.82199,3.4756,-2.0122,-1.0976,13.85,20.18,38.35,5,S01
780,-9.43076,0.72784,-1.75974,5.4268,-1.8293,-1.3415,13.49,20.28,38.53,5,S01
800,-9.32542,0.57940,-1.66158,7.9268,-1.3415,-2.0732,13.49,20.28,38.53,5,S01
820,-9.35415,0.37828,-1.49398,10.3659,-0.3659,-2.5610,13.49,20.28,38.53,5,S01
840,-9.54808,0.27054,-1.27132,11.0976,-0.2439,-2.3780,12.84,20.37,38.62,5,S01
860,-9.77792,0.23942,-1.05584,9.2073,-1.8902,-2.1951,12.84,20.37,38.62,5,S01
880,-9.84496,0.21548,-0.90980,7.2561,-4.6951,-2.6829,12.84,20.37,38.62,5,S01
900,-9.73961,0.14126,-0.91459,6.4024,-6.8293,-3.7195,12.84,20.37,38.62,5,S01
920,-9.59117,0.11013,-0.97923,6.3415,-7.5610,-4.5732,12.66,19.91,38.90,5,S01
940,-9.44513,0.11732,-1.10373,6.5854,-7.4390,-4.2073,12.66,19.91,38.90,5,S01
960,-9.37330,0.27533,-1.15161,6.7073,-6.3415,-2.9268,12.66,19.91,38.90,5,S01
980,-9.34457,0.48602,-1.12288,5.7927,-4.9390,-1.4634,12.20,19.82,39.17,5,S01
1000,-9.30626,0.60573,-1.13485,3.8415,-4.0854,-0.1829,12.20,19.82,39.17,5,S01
1020,-9.33260,0.53630,-1.16598,1.9512,-3.7195,0.8537,12.20,19.82,39.17,5,S01
