timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,-5.13556,0.34716,-0.20351,21.0976,31.5244,-1.7683,0.00,0.00,0.00,5,S01
20,-5.39892,0.37828,0.90501,17.3171,20.9146,0.9756,0.00,0.00,0.00,5,S01
40,-6.42843,1.13246,-0.02394,24.1463,1.9512,-13.6585,0.00,0.00,0.00,5,S01
60,-6.42843,1.13246,-0.02394,24.1463,1.9512,-13.6585,0.00,0.00,0.00,5,S01
80,-5.90410,2.15239,-0.86670,26.2195,7.6220,-15.6098,0.00,0.00,0.00,5,S01
100,-6.54335,2.56658,-0.41659,13.8415,4.4512,-7.9268,0.00,0.00,0.00,5,S01
120,-7.13472,3.04064,0.07901,-3.7195,-11.5244,0.1829,0.00,0.00,0.00,5,S01
140,-7.34781,2.88501,0.89783,-30.7927,-24.0244,3.7805,0.00,0.00,0.00,5,S01
160,-7.39090,1.71664,1.28569,-47.0122,-24.9390,1.1585,0.00,0.00,0.00,5,S01
180,-8.95192,1.18034,-0.56743,-38.1707,-18.7805,-4.8171,0.00,0.00,0.00,5,S01
200,-10.76194,-0.40223,-2.25534,-32.7439,-13.1707,0.4268,0.00,0.00,0.00,5,S01
220,-11.70765,-1.67115,-2.15718,-22.6829,-16.3415,11.8902,0.00,0.00,0.00,5,S01
240,-18.24861,-2.85868,-1.85790,-10.1829,-37.3171,17.4390,0.00,0.00,0.00,5,S01
260,-19.47204,-2.39181,-1.88424,-11.0366,-39.8780,27.7439,0.00,0.00,0.00,5,S01
280,-14.65970,0.04788,2.17872,-51.6463,-31.0976,27.3171,0.00,0.00,0.00,5,S01
300,-11.78187,2.02789,0.08380,-51.4634,-55.6707,-1.5854,0.00,0.00,0.00,5,S01
320,-13.36922,0.61770,0.32082,-31.2805,-30.4268,-17.5000,0.00,0.00,0.00,5,S01
340,-14.26465,-2.31998,0.85234,-30.3659,-10.8537,-17.9268,0.00,0.00,0.00,5,S01
360,-12.37084,-3.13880,0.81403,-23.5976,-4.2073,-17.0122,0.00,0.00,0.00,5,S01
380,-9.99340,-2.47560,0.55306,-13.1707,5.4878,-22.3780,0.00,0.00,0.00,5,S01
400,-7.96311,-0.74460,-0.24181,-4.3293,11.1585,-28.1707,0.00,0.00,0.00,5,S01
420,-7.11078,0.68953,-1.06542,-3.5976,20.3049,-24.6341,0.00,0.00,0.00,5,S01
440,-7.05332,0.36392,-0.79009,-12.9878,33.3537,-11.3415,0.00,0.00,0.00,5,S01
460,-7.12993,-0.71108,-0.14126,-20.9756,42.5610,3.9024,0.00,0.00,0.00,5,S01
480,-7.18261,-1.04387,0.65841,-22.9878,48.8415,13.2927,0.00,0.00,0.00,5,S01
500,-6.83545,-0.96007,0.49560,-19.0244,45.8537,15.7927,0.00,0.00,0.00,5,S01
520,-6.04536,-0.92895,0.25618,-14.6341,33.8415,13.1098,0.00,0.00,0.00,5,S01
540,-5.83706,-0.92895,-0.05028,-11.1585,19.7561,9.3902,0.00,0.00,0.00,5,S01
560,-6.74925,-0.99359,0.40462,-7.6829,14.8171,10.6098,0.00,0.00,0.00,5,S01
580,-7.14430,-1.23301,0.53391,-7.5610,10.1220,17.1341,0.00,0.00,0.00,5,S01
600,-6.52181,-1.52271,0.90261,-7.2561,0.5488,19.5122,0.00,0.00,0.00,5,S01
620,-6.35421,-1.59214,1.14682,-3.7195,-7.6829,13.2927,0.00,0.00,0.00,5,S01
640,-6.73728,-1.66158,0.94571,7.1951,-4.3293,8.4146,0.00,0.00,0.00,5,S01
660,-6.82347,-1.23780,-0.00239,18.7805,11.8293,10.0610,0.00,0.00,0.00,5,S01
680,-6.84023,-0.84276,0.02394,17.5000,24.2683,10.2439,0.00,0.00,0.00,5,S01
700,-7.29034,-1.30245,0.37110,9.5732,18.1098,2.6220,0.00,0.00,0.00,5,S01
720,-8.74123,-2.14042,-1.47243,13.4756,9.0244,-12.5610,0.00,0.00,0.00,5,S01
740,-10.94629,-0.19393,-1.76213,25.3659,13.7195,-27.5000,0.00,0.00,0.00,5,S01
760,-13.38838,2.40378,-0.87628,24.3902,-3.9024,-27.5610,0.00,0.00,0.00,5,S01
780,-17.65005,3.07416,-2.96402,16.1585,-50.4878,-20.4878,0.00,0.00,0.00,5,S01
800,-17.69315,2.14760,-2.01831,17.1341,-63.4756,-27.0732,0.00,0.00,0.00,5,S01
820,-14.85363,2.26491,-1.08457,24.6951,-60.5488,-32.5000,0.00,0.00,0.00,5,S01
840,-13.09628,1.35272,0.45729,13.7805,-64.2683,-17.0732,0.00,0.00,0.00,5,S01
860,-14.39873,1.22823,0.54348,4.2073,-55.2439,0.9146,0.00,0.00,0.00,5,S01
880,-14.35085,1.28808,0.30885,2.7439,-26.9512,5.0000,0.00,0.00,0.00,5,S01
900,-12.60547,1.68312,-0.04788,5.3049,-11.2195,-2.8049,0.00,0.00,0.00,5,S01
920,-9.84735,1.77410,-0.66319,11.0976,-2.3171,-2.2561,0.00,0.00,0.00,5,S01
940,-7.61117,1.11091,-1.24498,11.9512,9.3293,6.0976,0.00,0.00,0.00,5,S01
960,-6.65828,0.61292,-1.13006,7.8049,26.8293,8.6585,0.00,0.00,0.00,5,S01
980,-6.81150,1.37906,-0.26336,-2.8049,44.7561,0.0610,0.00,0.00,0.00,5,S01
1000,-7.00783,1.60651,-0.13408,-8.6585,42.3171,-1.8293,0.00,0.00,0.00,5,S01
1020,-7.10838,1.19471,-0.09337,-12.9268,39.2683,-3.1098,0.00,0.00,0.00,5,S01
1040,-7.12036,0.83558,-0.37110,-10.7927,34.6341,-6.8293,0.00,0.00,0.00,5,S01
1060,-6.50744,0.51475,-0.21787,-7.6829,26.3415,-9.9390,0.00,0.00,0.00,5,S01
1080,-5.49948,0.26576,0.06943,-0.1829,16.0366,-11.1585,0.00,0.00,0.00,5,S01
1100,-5.36780,0.17957,0.25618,8.2317,6.9512,-12.4390,0.00,0.00,0.00,5,S01
1120,-6.12916,0.27054,0.67756,9.8171,2.1951,-14.0854,0.00,0.00,0.00,5,S01
1140,-6.62476,1.10612,0.76614,8.6585,-2.3780,-15.5488,0.00,0.00,0.00,5,S01
1160,-6.33027,2.07338,-0.03352,0.0610,-8.4756,-13.1098,0.00,0.00,0.00,5,S01
1180,-6.66785,3.03106,-0.09098,-18.5976,-12.3780,-7.5000,0.00,0.00,0.00,5,S01
1200,-7.69975,2.31759,0.46687,-40.6098,-18.7805,-3.5976,0.00,0.00,0.00,5,S01
1220,-7.89368,0.72544,-0.43335,-40.6707,-19.6951,-6.7073,0.00,0.00,0.00,5,S01
1240,-8.72686,0.32801,-1.65918,-28.6585,-6.8293,-10.0610,0.00,0.00,0.00,5,S01
1260,-9.67497,-0.43574,-2.38462,-17.6829,-2.4390,0.1220,0.00,0.00,0.00,5,S01
1280,-10.51055,-1.82678,-0.27054,-16.0366,-22.2561,17.3171,0.00,0.00,0.00,5,S01
1300,-14.88236,-2.92093,0.71587,-12.3171,-60.4878,22.9878,0.00,0.00,0.00,5,S01
1320,-19.04827,-1.29766,-3.21302,7.9268,-60.8537,27.2561,0.00,0.00,0.00,5,S01
1340,-17.01799,-0.83558,1.95606,-25.5488,-24.3902,37.7439,0.00,0.00,0.00,5,S01
1360,-12.78025,0.23463,-0.95768,-36.8902,-46.7073,22.6220,0.00,0.00,0.00,5,S01
1380,-13.46978,0.69911,-0.58419,-25.3049,-30.2439,-2.0122,0.00,0.00,0.00,5,S01
1400,-15.20318,-0.81163,0.11013,-30.9146,-12.5000,-13.1098,0.00,0.00,0.00,5,S01
1420,-13.87440,-2.43969,0.16759,-33.2927,-5.8537,-11.0976,0.00,0.00,0.00,5,S01
1440,-11.13783,-2.76051,-0.48602,-27.0122,-4.9390,-14.8171,0.00,0.00,0.00,5,S01
1460,-8.77714,-1.64003,-0.81163,-22.0732,0.5488,-23.7195,0.00,0.00,0.00,5,S01
1480,-7.51061,0.03591,-0.97683,-17.1341,12.1341,-26.7683,0.00,0.00,0.00,5,S01
1500,-7.48427,0.40223,-0.56264,-14.9390,27.5610,-22.0122,0.00,0.00,0.00,5,S01
1520,-7.97269,-0.39504,0.29209,-16.0976,32.0122,-12.2561,0.00,0.00,0.00,5,S01
1540,-7.89608,-0.91698,0.69192,-17.5000,25.3049,-3.1098,0.00,0.00,0.00,5,S01
1560,-7.53695,-1.08218,0.49560,-14.3902,22.5000,1.8902,0.00,0.00,0.00,5,S01
1580,-7.58722,-1.01514,0.26336,-9.2073,24.0244,2.6829,0.00,0.00,0.00,5,S01
1600,-7.97987,-1.05824,0.27054,-3.8415,21.5244,3.4756,0.00,0.00,0.00,5,S01
1620,-7.87692,-1.14443,0.65841,-3.1707,11.2805,5.7317,0.00,0.00,0.00,5,S01
1640,-6.77559,-0.79248,0.63446,-5.3049,-0.4268,7.5610,0.00,0.00,0.00,5,S01
1660,-6.16986,-0.13168,0.34237,-7.5000,-3.6585,8.7805,0.00,0.00,0.00,5,S01
1680,-5.87298,0.00958,-0.16759,-10.0610,0.9146,15.6098,0.00,0.00,0.00,5,S01
1700,-5.92565,-1.25696,1.25696,-14.0854,7.9268,25.6098,0.00,0.00,0.00,5,S01
1720,-6.75404,-2.07338,2.19069,-5.5488,4.6951,26.3415,0.00,0.00,0.00,5,S01
1740,-7.33823,-1.82199,1.60890,6.7683,1.8293,21.4634,0.00,0.00,0.00,5,S01
1760,-6.68701,-1.04627,-0.68953,16.1585,9.7561,19.6951,0.00,0.00,0.00,5,S01
1780,-6.80911,-0.43814,-0.28970,20.3659,24.0854,19.7561,0.00,0.00,0.00,5,S01
1800,-8.34858,-0.98641,1.74537,24.3293,15.4878,20.1829,0.00,0.00,0.00,5,S01
1820,-9.26077,-1.17795,1.50595,32.5610,-5.9756,15.7927,0.00,0.00,0.00,5,S01
1840,-8.42998,-0.34716,0.11492,32.9878,-5.1829,7.1951,0.00,0.00,0.00,5,S01
1860,-8.20972,0.21787,0.73502,25.3659,1.6463,-2.3171,0.00,0.00,0.00,5,S01
1880,-9.44513,-0.19632,0.77812,24.3293,-12.1341,-11.4634,0.00,0.00,0.00,5,S01
1900,-10.93671,0.18675,0.73263,23.2927,-16.0366,-19.6341,0.00,0.00,0.00,5,S01
1920,-12.19606,0.85473,0.52194,12.5610,-11.8902,-17.4390,0.00,0.00,0.00,5,S01
1940,-16.56069,-0.59855,-2.45645,5.8537,-12.0122,-20.6098,0.00,0.00,0.00,5,S01
1960,-19.03630,0.43574,-0.48363,22.9878,10.7317,-54.2683,0.00,0.00,0.00,5,S01
1980,-17.65724,1.41497,-0.94332,38.2317,-15.3659,-63.4146,0.00,0.00,0.00,5,S01
2000,-13.47217,-0.72305,-1.29526,43.8415,-52.1341,-25.4878,0.00,0.00,0.00,5,S01
2020,-10.60392,-1.96803,0.04549,40.0610,-59.0854,11.7683,0.00,0.00,0.00,5,S01
2040,-9.33739,-0.73981,0.21308,47.6829,-30.4878,25.3659,0.00,0.00,0.00,5,S01
2060,-8.79630,1.15879,-0.44293,58.4146,0.1220,24.8780,0.00,0.00,0.00,5,S01
2080,-8.66222,2.54982,-0.56743,58.6585,14.2073,20.3049,0.00,0.00,0.00,5,S01
2100,-8.80109,3.10289,-0.73023,52.8659,17.3780,16.9512,0.00,0.00,0.00,5,S01
2120,-8.59279,3.25611,-0.84755,39.4512,18.7195,14.6951,0.00,0.00,0.00,5,S01
2140,-7.95354,1.64003,-0.33519,1.0366,16.0976,6.8902,0.00,0.00,0.00,5,S01
2160,-7.95354,1.64003,-0.33519,1.0366,16.0976,6.8902,0.00,0.00,0.00,5,S01
2180,-7.70215,0.68235,-0.44772,-6.5854,19.1463,-0.7927,0.00,0.00,0.00,5,S01
2200,-7.51540,-0.43335,-0.62010,-4.3902,30.1829,-11.7073,0.00,0.00,0.00,5,S01
2220,-8.14029,-0.33519,-0.28491,5.4268,36.0976,-16.0366,0.00,0.00,0.00,5,S01
2240,-8.81545,-0.27054,-0.05746,14.3902,34.6951,-20.0000,0.00,0.00,0.00,5,S01
2260,-8.86812,-0.24660,-0.09337,24.6951,28.4756,-22.9268,0.00,0.00,0.00,5,S01
2280,-7.96072,-0.23942,-0.58179,35.1220,20.5488,-23.2317,0.00,0.00,0.00,5,S01
2300,-6.57687,0.10295,-0.81882,43.2927,16.9512,-20.4268,0.00,0.00,0.00,5,S01
2320,-5.53779,0.36392,-0.82600,45.0610,18.6585,-13.2927,0.00,0.00,0.00,5,S01
2340,-5.71017,0.23224,-0.53630,43.1707,25.4878,-4.0854,0.00,0.00,0.00,5,S01
2360,-6.84981,0.33519,-0.05267,42.3780,28.1707,-1.9512,0.00,0.00,0.00,5,S01
2380,-7.75721,1.07978,0.05507,43.4146,21.1585,-5.4878,0.00,0.00,0.00,5,S01
2400,-8.47308,1.70467,0.61770,34.8780,9.5122,-9.1463,0.00,0.00,0.00,5,S01
2420,-9.38527,2.15957,0.95050,23.2927,-4.5122,-11.4024,0.00,0.00,0.00,5,S01
2440,-9.46667,2.43490,0.60573,8.0488,-18.1707,-12.9878,0.00,0.00,0.00,5,S01
2460,-8.52336,2.52109,0.42617,-2.5610,-23.1707,-13.3537,0.00,0.00,0.00,5,S01
2480,-8.50181,2.90177,0.25857,-13.1707,-26.1585,-10.1829,0.00,0.00,0.00,5,S01
2500,-9.54089,2.64559,-1.04387,-27.0122,-23.7805,-0.4878,0.00,0.00,0.00,5,S01
2520,-9.82102,1.24020,-1.46046,-37.8049,-14.9390,11.2805,0.00,0.00,0.00,5,S01
2540,-10.96305,-0.51954,-1.93451,-46.9512,-20.4878,16.8293,0.00,0.00,0.00,5,S01
2560,-15.33965,-2.20506,-4.75010,-36.8293,-27.3171,22.5610,0.00,0.00,0.00,5,S01
2580,-17.25980,-3.26569,-1.44849,-41.5244,-22.5000,37.5610,0.00,0.00,0.00,5,S01
2600,-14.04199,-3.04064,-0.08380,-66.4024,-51.0976,44.9390,0.00,0.00,0.00,5,S01
2620,-11.95185,0.13647,-0.76614,-58.2927,-50.0610,27.3780,0.00,0.00,0.00,5,S01
2640,-13.06276,0.18435,-0.50757,-55.1829,-28.0488,5.9146,0.00,0.00,0.00,5,S01
2660,-13.24712,-1.54905,0.09337,-62.3171,-19.6951,-6.8902,0.00,0.00,0.00,5,S01
2680,-11.59512,-2.88980,0.12450,-61.0366,-10.3049,-11.4024,0.00,0.00,0.00,5,S01
2700,-9.71806,-2.69827,0.08859,-56.0366,-0.4878,-16.5244,0.00,0.00,0.00,5,S01
2720,-8.76517,-1.88424,0.07183,-48.6585,10.3659,-21.4634,0.00,0.00,0.00,5,S01
2740,-8.46111,-1.28090,0.25379,-36.6463,22.3171,-22.8659,0.00,0.00,0.00,5,S01
2760,-8.38928,-1.21625,0.52672,-26.8293,24.8780,-21.0366,0.00,0.00,0.00,5,S01
2780,-8.00382,-1.36469,0.73263,-20.0000,21.0366,-14.9390,0.00,0.00,0.00,5,S01
2800,-7.51061,-1.41737,0.72065,-13.3537,20.7927,-7.5000,0.00,0.00,0.00,5,S01
2820,-7.33344,-1.26893,0.47884,-6.1585,23.7195,-1.7073,0.00,0.00,0.00,5,S01
2840,-7.46033,-1.04866,0.25139,-1.0366,24.7561,2.3171,0.00,0.00,0.00,5,S01
2860,-7.80031,-1.00317,0.36392,0.1220,21.0366,6.1585,0.00,0.00,0.00,5,S01
2880,-7.83862,-1.15161,0.49560,0.7927,13.4146,11.0976,0.00,0.00,0.00,5,S01
2900,-7.15866,-1.12288,0.29688,2.7439,8.7805,16.1585,0.00,0.00,0.00,5,S01
2920,-6.33266,-1.32399,0.51475,4.4512,9.2683,20.2439,0.00,0.00,0.00,5,S01
2940,-5.68862,-1.51314,1.28808,6.6463,7.0122,20.0000,0.00,0.00,0.00,5,S01
2960,-5.91128,-0.93853,1.48441,9.1463,1.8902,15.6707,0.00,0.00,0.00,5,S01
2980,-7.44118,-0.71347,1.05105,11.1585,1.2195,15.9756,0.00,0.00,0.00,5,S01
3000,-8.93037,-1.67115,1.55144,14.0854,2.6220,25.8537,0.00,0.00,0.00,5,S01
3020,-9.54808,-3.64158,2.65038,21.2195,-2.6829,37.5000,0.00,0.00,0.00,5,S01
3040,-8.69574,-4.32153,1.70467,38.6585,-9.0854,37.9268,0.00,0.00,0.00,5,S01
3060,-7.52498,-3.28245,1.35991,52.5610,-6.5854,25.0000,0.00,0.00,0.00,5,S01
3080,-8.28154,-1.43652,1.66636,63.9024,-6.7073,8.1707,0.00,0.00,0.00,5,S01
3100,-9.74679,-0.02155,2.21942,68.8415,-6.1585,0.1829,0.00,0.00,0.00,5,S01
3120,-10.04128,-0.65601,2.82755,64.2683,-8.3537,1.5244,0.00,0.00,0.00,5,S01
3140,-9.50977,-1.39103,0.90261,55.9756,-6.7073,-1.7683,0.00,0.00,0.00,5,S01
3160,-9.46428,-0.57221,-0.60094,42.9268,10.6707,-14.3293,0.00,0.00,0.00,5,S01
3180,-10.35732,0.64165,-1.26893,37.5000,20.4268,-24.1463,0.00,0.00,0.00,5,S01
3200,-19.33797,-0.56743,-1.94888,36.3415,-43.1098,-44.1463,0.00,0.00,0.00,5,S01
3220,-19.33797,-0.56743,-1.94888,36.3415,-43.1098,-44.1463,0.00,0.00,0.00,5,S01
3240,-19.61330,-0.85952,-2.65996,74.4512,-37.8049,-52.5610,0.00,0.00,0.00,5,S01
3260,-15.17206,-1.32878,-2.88022,90.2439,-50.3659,-26.4024,0.00,0.00,0.00,5,S01
3280,-10.70208,-1.00556,-2.17394,91.3415,-55.7317,6.4634,0.00,0.00,0.00,5,S01
3300,-8.38689,-0.44293,-2.22421,97.1341,-26.0976,22.6829,0.00,0.00,0.00,5,S01
3320,-7.70933,0.03112,-2.32238,105.6707,15.3049,21.1585,0.00,0.00,0.00,5,S01
3340,-7.52019,0.40223,-2.57377,114.1463,39.0854,12.1341,0.00,0.00,0.00,5,S01
3360,-7.78355,0.49081,-2.72460,118.2927,50.2439,7.7439,0.00,0.00,0.00,5,S01
3380,-8.27197,0.50518,-2.44209,120.0610,57.5610,8.1707,0.00,0.00,0.00,5,S01
3400,-8.62152,1.01514,-1.71185,113.8415,49.9390,7.6829,0.00,0.00,0.00,5,S01
3420,-8.66222,0.99120,-1.75974,107.2561,43.5366,10.0000,0.00,0.00,0.00,5,S01
3440,-8.74362,1.15640,-1.57060,99.6951,36.8902,11.6463,0.00,0.00,0.00,5,S01
3460,-8.94953,1.32878,-0.96247,91.8293,27.9268,12.2561,0.00,0.00,0.00,5,S01
3480,-9.03093,1.57060,-0.26097,83.8415,16.1585,10.0000,0.00,0.00,0.00,5,S01
3500,-8.64307,1.80762,-0.10774,76.7073,6.0366,5.2439,0.00,0.00,0.00,5,S01
3520,-8.48744,2.05183,0.11013,67.7439,3.3537,0.4878,0.00,0.00,0.00,5,S01
3540,-8.98304,1.98719,0.44532,55.8537,2.3171,-1.0366,0.00,0.00,0.00,5,S01
3560,-9.49301,1.69031,0.67995,41.8293,-1.2805,1.2805,0.00,0.00,0.00,5,S01
3580,-9.92397,1.56820,0.66798,29.7561,-7.5610,3.5976,0.00,0.00,0.00,5,S01
3600,-9.91918,1.56341,0.64404,20.4878,-13.4756,5.9756,0.00,0.00,0.00,5,S01
3620,-9.43555,0.80685,1.49159,14.0854,-16.6463,10.2439,0.00,0.00,0.00,5,S01
3640,-9.21049,-0.24421,2.38462,21.2805,-17.4390,14.2683,0.00,0.00,0.00,5,S01
3660,-9.11473,-0.62010,2.43969,38.7805,-16.8902,17.3171,0.00,0.00,0.00,5,S01
3680,-10.74278,-0.23703,0.44772,56.7683,-11.9512,22.0122,0.00,0.00,0.00,5,S01
3700,-12.77785,0.81403,-2.30801,68.7805,7.9878,32.0732,0.00,0.00,0.00,5,S01
3720,-12.72758,0.18914,-3.37104,59.3293,24.9390,45.7317,0.00,0.00,0.00,5,S01
3740,-11.16177,-1.65918,-3.07416,51.0366,11.5244,47.1951,0.00,0.00,0.00,5,S01
3760,-9.56962,-2.49955,-3.80199,63.3537,-18.7195,33.3537,0.00,0.00,0.00,5,S01
3780,-9.86890,-1.08457,-4.66151,74.6951,-24.0244,14.1463,0.00,0.00,0.00,5,S01
3800,-10.79546,0.50039,-3.86664,66.0366,-12.6829,-1.4634,0.00,0.00,0.00,5,S01
3820,-10.62547,0.62249,-3.02867,51.5244,-15.5488,-13.6585,0.00,0.00,0.00,5,S01
3840,-9.82341,-0.41659,-2.42772,44.4512,-19.5122,-22.1951,0.00,0.00,0.00,5,S01
3860,-8.97107,-1.54665,-1.99437,45.3659,-16.9512,-28.7805,0.00,0.00,0.00,5,S01
3880,-8.21929,-1.59693,-2.18112,52.9878,-10.2439,-32.6220,0.00,0.00,0.00,5,S01
3900,-7.69975,-1.07021,-2.17633,58.9634,0.1829,-32.1951,0.00,0.00,0.00,5,S01
3920,-7.65666,-0.57700,-2.13563,64.8781,8.9024,-28.2927,0.00,0.00,0.00,5,S01
3940,-7.88650,-0.42138,-2.15718,69.3902,13.4756,-22.8049,0.00,0.00,0.00,5,S01
3960,-8.25042,-0.33040,-2.23140,72.0732,14.6951,-17.3780,0.00,0.00,0.00,5,S01
3980,-8.67659,-0.46208,-1.91057,70.8537,10.7317,-12.1341,0.00,0.00,0.00,5,S01
4000,-8.88249,-0.55785,-1.65679,68.4756,2.9878,-9.0244,0.00,0.00,0.00,5,S01
4020,-8.95192,-0.44293,-1.59933,66.4634,-1.5854,-9.3293,0.00,0.00,0.00,5,S01
4040,-9.24401,-0.33040,-1.26414,62.6220,-2.5000,-10.4268,0.00,0.00,0.00,5,S01
4060,-9.43076,-0.38786,-0.88346,57.7439,-7.1341,-11.0976,0.00,0.00,0.00,5,S01
4080,-9.15782,-0.41420,-0.51954,53.1707,-12.1341,-11.0976,0.00,0.00,0.00,5,S01
