timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,-9.36372,-0.15802,-0.03112,-0.7317,-0.6098,-1.2195,0.00,0.00,0.00,6,S01
20,-9.36612,-0.15323,-0.02634,-0.4878,-0.5488,-1.1585,0.00,0.00,0.00,6,S01
40,-9.36851,-0.12210,-0.01676,-0.9756,-0.5488,-1.0366,0.00,0.00,0.00,6,S01
60,-9.35415,-0.12450,-0.03591,-1.5244,-0.4878,-1.1585,0.00,0.00,0.00,6,S01
80,-9.36612,-0.15083,-0.05267,-1.3415,-0.1220,-1.2195,0.00,0.00,0.00,6,S01
100,-9.37809,-0.17957,-0.04788,-0.9146,0.0000,-1.1585,0.00,0.00,0.00,6,S01
120,-9.35175,-0.17957,-0.03591,-0.7927,-0.2439,-1.0976,0.00,0.00,0.00,6,S01
140,-9.36133,-0.14844,-0.01197,-0.9756,-0.2439,-1.0366,0.00,0.00,0.00,6,S01
160,-9.37809,-0.14365,-0.00479,-1.0366,-0.3049,-1.1585,0.00,0.00,0.00,6,S01
180,-9.35893,-0.14605,-0.02394,-0.7927,-0.2439,-1.4024,0.00,0.00,0.00,6,S01
200,-9.34218,-0.15323,-0.01676,-0.5488,0.0000,-1.4024,0.00,0.00,0.00,6,S01
220,-9.37569,-0.14365,0.00000,-0.4878,0.1220,-1.2195,0.00,0.00,0.00,6,S01
240,-9.39006,-0.13408,-0.01437,-0.5488,-0.1220,-1.2195,0.00,0.00,0.00,6,S01
260,-9.37091,-0.14365,-0.01437,-0.6098,-0.1829,-1.4024,0.00,0.00,0.00,6,S01
280,-9.37091,-0.14844,-0.00958,-0.5488,-0.1829,-1.4024,0.00,0.00,0.00,6,S01
300,-9.38048,-0.12450,0.01437,-0.7317,-0.2439,-1.2805,0.00,0.00,0.00,6,S01
320,-9.37809,-0.16520,0.00958,-1.0366,-0.6707,-1.1585,0.00,0.00,0.00,6,S01
340,-9.40442,-0.20830,-0.02873,-0.9756,-0.9756,-1.2805,0.00,0.00,0.00,6,S01
360,-9.40203,-0.20830,0.03831,-0.7317,-0.7927,-1.5854,0.00,0.00,0.00,6,S01
380,-9.37809,-0.19154,0.04549,-0.3049,-1.2805,-1.5244,0.00,0.00,0.00,6,S01
400,-9.33260,-0.18675,-0.00479,-0.0610,-1.5244,-1.3415,0.00,0.00,0.00,6,S01
420,-9.31823,-0.16520,-0.00958,0.1220,-0.8537,-1.3415,0.00,0.00,0.00,6,S01
440,-9.34696,-0.13168,0.00479,0.0610,-0.3659,-1.2195,0.00,0.00,0.00,6,S01
460,-9.41640,-0.13647,0.03352,-0.5488,-0.5488,-1.2195,0.00,0.00,0.00,6,S01
480,-9.36372,-0.15083,-0.00239,-0.6707,-0.8537,-1.3415,0.00,0.00,0.00,6,S01
500,-9.32781,-0.14605,-0.02155,-0.5488,-0.6098,-1.5244,0.00,0.00,0.00,6,S01
520,-9.33499,-0.15562,-0.00239,-0.6707,-0.1220,-1.4634,0.00,0.00,0.00,6,S01
540,-9.34457,-0.17957,0.00479,-0.6707,0.1829,-1.4024,0.00,0.00,0.00,6,S01
560,-9.35415,-0.16999,0.01197,-0.6098,0.4268,-1.4024,0.00,0.00,0.00,6,S01
580,-9.34457,-0.12689,0.02634,-0.6707,0.7317,-1.5244,0.00,0.00,0.00,6,S01
600,-9.36133,-0.10056,0.09337,-0.8537,0.7317,-1.4024,0.00,0.00,0.00,6,S01
620,-9.31105,-0.15562,0.05507,-0.7317,0.1220,-1.1585,0.00,0.00,0.00,6,S01
640,-9.20810,-0.26097,-0.02873,-0.0610,0.4268,-0.7927,0.00,0.00,0.00,6,S01
660,-9.15064,-0.35195,-0.02155,1.4024,1.5244,-0.4268,0.00,0.00,0.00,6,S01
680,-9.22007,-0.40941,0.08380,3.0488,2.8049,0.1220,0.00,0.00,0.00,6,S01
700,-9.38766,-0.51715,0.13886,4.7561,3.6585,0.4268,0.00,0.00,0.00,6,S01
720,-9.48104,-0.52433,0.16759,6.8293,3.4146,0.0000,0.00,0.00,0.00,6,S01
740,-9.43794,-0.41899,0.12450,8.5366,2.3171,-0.7317,0.00,0.00,0.00,6,S01
760,-9.40682,-0.28970,0.11013,9.0854,1.6463,-1.0976,0.00,0.00,0.00,6,S01
780,-9.33978,-0.23224,0.10534,7.9878,1.7073,-0.9146,0.00,0.00,0.00,6,S01
800,-9.32302,-0.28730,0.06464,7.1341,2.4390,-0.9146,0.00,0.00,0.00,6,S01
820,-9.39485,-0.20830,0.09577,6.4634,3.2927,-0.9146,0.00,0.00,0.00,6,S01
840,-9.37569,-0.16041,0.05028,4.8780,3.0488,-1.1585,0.00,0.00,0.00,6,S01
860,-9.41161,-0.26097,-0.08859,4.3293,3.4146,-1.6463,0.00,0.00,0.00,6,S01
880,-9.49062,-0.34237,-0.06704,4.6951,3.9634,-1.9512,0.00,0.00,0.00,6,S01
900,-9.50019,-0.36871,-0.16281,5.1220,2.5000,-2.0122,0.00,0.00,0.00,6,S01
920,-9.38048,-0.41899,-0.41420,5.6707,1.0976,-2.3780,0.00,0.00,0.00,6,S01
940,-9.29429,-0.34955,-0.50996,5.9146,1.7073,-2.5610,0.00,0.00,0.00,6,S01
