timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,-11.06361,2.72700,0.20111,34.4512,-0.6098,38.3537,0.00,0.00,0.00,3,S01
20,-9.94312,1.53229,0.02873,36.9512,0.5488,39.0854,0.00,0.00,0.00,3,S01
40,-8.67659,1.80044,-2.19548,51.2805,-2.9878,3.7195,0.00,0.00,0.00,3,S01
60,-8.67659,1.80044,-2.19548,51.2805,-2.9878,3.7195,0.00,0.00,0.00,3,S01
80,-8.69813,3.49793,-2.14999,41.0366,-3.4756,-6.7683,0.00,0.00,0.00,3,S01
100,-8.71011,3.84988,-1.94888,25.7317,-6.2195,-8.0488,0.00,0.00,0.00,3,S01
120,-8.81306,2.77967,-1.30484,12.6829,-3.4146,-6.5854,0.00,0.00,0.00,3,S01
140,-9.39485,1.63045,-0.24660,6.5854,1.4024,-11.6463,0.00,0.00,0.00,3,S01
160,-9.92875,0.93374,0.06943,6.9512,1.7073,-22.6220,0.00,0.00,0.00,3,S01
180,-9.84017,0.85234,0.41659,9.6341,-0.6707,-34.3902,0.00,0.00,0.00,3,S01
200,-9.34696,1.34554,0.14605,11.0976,-5.6098,-43.2927,0.00,0.00,0.00,3,S01
220,-8.86812,1.65679,-0.11013,8.9634,-7.4390,-46.1585,0.00,0.00,0.00,3,S01
240,-8.68377,1.51314,0.11492,7.7439,-6.0366,-44.2683,0.00,0.00,0.00,3,S01
260,-8.64786,1.03430,0.38068,9.4512,-5.0610,-40.6707,0.00,0.00,0.00,3,S01
280,-8.57842,0.50278,0.50518,11.3415,-4.2683,-38.1098,0.00,0.00,0.00,3,S01
300,-8.51378,0.54109,0.70150,13.0488,-3.7195,-37.0732,0.00,0.00,0.00,3,S01
320,-8.33182,0.73502,0.81882,13.7805,-3.9024,-33.9634,0.00,0.00,0.00,3,S01
340,-8.18817,0.88825,0.96486,13.1707,-1.8293,-28.5976,0.00,0.00,0.00,3,S01
360,-8.22169,0.81403,1.18274,12.6220,2.4390,-23.0488,0.00,0.00,0.00,3,S01
380,-8.38928,0.35195,1.68312,15.9146,7.9268,-15.6707,0.00,0.00,0.00,3,S01
400,-8.38928,0.35195,1.68312,15.9146,7.9268,-15.6707,0.00,0.00,0.00,3,S01
420,-8.48026,0.56982,2.04944,17.5610,7.0732,-13.5366,0.00,0.00,0.00,3,S01
440,-8.37731,0.99838,2.31280,15.4268,4.6341,-10.1220,0.00,0.00,0.00,3,S01
460,-8.22648,1.02711,2.36068,9.3902,2.8659,-4.5122,0.00,0.00,0.00,3,S01
480,-8.45393,0.68235,2.35111,5.3049,2.0732,1.5854,0.00,0.00,0.00,3,S01
500,-8.85136,0.50278,1.92494,3.4146,-0.4878,5.9146,0.00,0.00,0.00,3,S01
520,-9.46428,0.11732,1.64960,-2.5000,-2.8049,5.9146,0.00,0.00,0.00,3,S01
540,-9.67018,0.83079,2.22900,-8.5366,-4.5122,0.8537,0.00,0.00,0.00,3,S01
560,-10.00537,1.46525,2.37026,-18.6585,-7.9268,-4.6951,0.00,0.00,0.00,3,S01
580,-12.10508,0.52194,1.44370,-24.0854,-14.9390,-9.4512,0.00,0.00,0.00,3,S01
600,-13.82891,-0.22984,-0.57461,-11.8293,-18.0488,-15.0000,0.00,0.00,0.00,3,S01
620,-13.42190,0.86910,-0.17238,-8.5976,-14.6341,-23.4756,0.00,0.00,0.00,3,S01
640,-11.61667,2.43969,-1.10612,-20.4878,-23.4146,-28.5976,0.00,0.00,0.00,3,S01
660,-9.91439,3.25851,-2.61447,-31.8293,-26.9512,-23.9634,0.00,0.00,0.00,3,S01
680,-9.20331,1.91057,-3.15795,-40.7317,-15.7317,-14.3293,0.00,0.00,0.00,3,S01
700,-10.00297,0.65601,-0.89783,-37.3171,6.7683,-8.2927,0.00,0.00,0.00,3,S01
720,-10.53928,0.19632,0.67516,-17.9878,17.4390,-1.7683,0.00,0.00,0.00,3,S01
740,-10.20888,0.53391,0.52433,-1.8902,13.8415,5.7927,0.00,0.00,0.00,3,S01
760,-9.69652,1.13964,0.45011,2.4390,10.5488,10.9756,0.00,0.00,0.00,3,S01
780,-8.91122,1.65918,0.30406,1.2805,7.5610,14.5122,0.00,0.00,0.00,3,S01
800,-8.00382,1.84832,0.08140,1.2195,5.3659,18.3537,0.00,0.00,0.00,3,S01
820,-7.37893,1.83396,-0.23463,2.6829,5.3659,21.4024,0.00,0.00,0.00,3,S01
840,-7.35978,1.95367,-0.33279,2.0122,9.6341,23.2317,0.00,0.00,0.00,3,S01
860,-7.55371,1.96085,-0.38786,-3.0488,13.5976,24.9390,0.00,0.00,0.00,3,S01
880,-7.68299,2.00634,-0.34716,-10.2439,15.8537,25.4878,0.00,0.00,0.00,3,S01
900,-7.93917,1.71664,-0.26576,-17.0122,16.8902,25.0610,0.00,0.00,0.00,3,S01
920,-8.23605,1.47962,-0.15802,-18.5976,18.7805,23.5366,0.00,0.00,0.00,3,S01
940,-8.31985,1.38145,-0.05267,-15.9756,21.2805,21.4634,0.00,0.00,0.00,3,S01
960,-8.42759,1.54665,0.01915,-13.5366,22.0122,18.1707,0.00,0.00,0.00,3,S01
980,-8.63589,1.83396,0.20351,-12.1951,21.7683,14.8171,0.00,0.00,0.00,3,S01
1000,-8.46590,1.87705,0.11732,-11.4634,19.2683,12.4390,0.00,0.00,0.00,3,S01
1020,-8.07085,2.01352,0.01197,-11.2195,17.8049,9.4512,0.00,0.00,0.00,3,S01
1040,-7.93678,2.08774,0.24900,-13.3537,18.7805,5.6098,0.00,0.00,0.00,3,S01
1060,-8.08043,2.12845,0.47166,-14.9390,20.0000,2.1341,0.00,0.00,0.00,3,S01
1080,-8.22408,1.96325,0.70390,-13.7195,22.1341,-1.2195,0.00,0.00,0.00,3,S01
1100,-8.31746,1.81959,1.18752,-7.1341,21.0976,-9.3902,0.00,0.00,0.00,3,S01
1120,-8.62152,1.88184,1.11809,-2.2561,18.7195,-10.7927,0.00,0.00,0.00,3,S01
1140,-8.62152,1.88184,1.11809,-2.2561,18.7195,-10.7927,0.00,0.00,0.00,3,S01
1160,-9.31344,2.14042,1.17795,1.4634,15.7317,-10.3049,0.00,0.00,0.00,3,S01
1180,-10.05325,2.45406,1.26653,3.7805,9.1463,-8.9024,0.00,0.00,0.00,3,S01
1200,-10.38126,2.54982,1.50835,6.5854,1.4024,-7.0732,0.00,0.00,0.00,3,S01
1220,-10.30464,2.73897,1.93691,10.2439,-3.2317,-5.4268,0.00,0.00,0.00,3,S01
1240,-9.92157,3.00951,2.77009,13.9024,-4.5732,-3.2927,0.00,0.00,0.00,3,S01
1260,-9.63187,3.39977,2.89698,18.1098,-4.4512,0.3049,0.00,0.00,0.00,3,S01
1280,-10.08677,4.16591,1.78847,18.1707,-1.8293,6.0366,0.00,0.00,0.00,3,S01
1300,-10.95108,4.59687,-0.11253,14.5122,7.0122,15.4268,0.00,0.00,0.00,3,S01
1320,-11.09952,3.12443,-0.06225,11.2805,19.3902,25.0610,0.00,0.00,0.00,3,S01
1340,-11.61188,2.02071,-1.18274,15.0000,16.1585,27.3171,0.00,0.00,0.00,3,S01
1360,-11.84172,1.03908,-1.90818,20.4878,7.3171,21.9512,0.00,0.00,0.00,3,S01
1380,-11.49217,2.01352,-2.17394,24.3902,-2.5000,11.4634,0.00,0.00,0.00,3,S01
1400,-11.06121,2.59771,-2.43969,18.4146,-8.4146,4.5732,0.00,0.00,0.00,3,S01
1420,-10.92714,2.26252,-1.96564,6.3415,-6.8293,0.4878,0.00,0.00,0.00,3,S01
1440,-10.59913,2.22661,-1.82199,-3.2927,-7.1951,-6.3415,0.00,0.00,0.00,3,S01
1460,-9.69173,2.09493,-1.70946,-13.9634,-8.5366,-14.0854,0.00,0.00,0.00,3,S01
1480,-9.11233,1.94409,-1.52032,-23.1098,-6.5244,-23.3537,0.00,0.00,0.00,3,S01
1500,-8.61913,1.34794,-1.14922,-29.6951,-2.1341,-34.5732,0.00,0.00,0.00,3,S01
1520,-8.13310,0.20830,-0.94571,-31.3415,-0.1829,-42.4390,0.00,0.00,0.00,3,S01
1540,-7.49146,-0.73741,-0.27294,-27.5000,2.8659,-47.1341,0.00,0.00,0.00,3,S01
