timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,-7.11078,0.11253,5.96635,-1.5854,3.7195,-0.9146,0.00,0.00,0.00,0,S01
20,-7.13712,0.12210,5.89213,-1.6463,5.8537,-0.8537,0.00,0.00,0.00,0,S01
40,-7.36456,0.01915,5.90650,-2.1341,8.2317,-1.0366,0.00,0.00,0.00,0,S01
60,-7.36456,0.01915,5.90650,-2.1341,8.2317,-1.0366,0.00,0.00,0.00,0,S01
80,-7.40287,-0.00239,5.88734,-2.2561,7.2561,-1.0366,0.00,0.00,0.00,0,S01
100,-7.36456,-0.06464,5.76045,-2.3171,6.0976,-0.8537,0.00,0.00,0.00,0,S01
120,-7.42681,-0.15323,5.70299,-2.4390,6.0366,-0.7927,0.00,0.00,0.00,0,S01
140,-7.47470,-0.19632,5.71975,-2.1951,6.1585,-0.8537,0.00,0.00,0.00,0,S01
160,-7.46273,-0.16520,5.66468,-2.0732,5.8537,-0.8537,0.00,0.00,0.00,0,S01
180,-7.47470,-0.10056,5.65032,-2.2561,6.3415,-1.0976,0.00,0.00,0.00,0,S01
200,-7.49625,-0.03352,5.67426,-2.2561,6.8902,-1.4024,0.00,0.00,0.00,0,S01
220,-7.48667,0.00479,5.69820,-1.9512,6.8902,-1.4634,0.00,0.00,0.00,0,S01
240,-7.44836,0.04070,5.68623,-1.4634,6.4634,-1.5854,0.00,0.00,0.00,0,S01
260,-7.45076,0.03352,5.64074,-0.5488,6.4024,-1.8902,0.00,0.00,0.00,0,S01
280,-7.53934,0.02873,5.64313,0.4268,6.2195,-2.3171,0.00,0.00,0.00,0,S01
300,-7.60877,0.02634,5.66947,1.1585,4.8171,-2.4390,0.00,0.00,0.00,0,S01
320,-7.55849,-0.04070,5.65032,1.2195,2.7439,-2.2561,0.00,0.00,0.00,0,S01
340,-7.46033,-0.11732,5.61440,1.0366,1.6463,-2.1341,0.00,0.00,0.00,0,S01
360,-7.44597,-0.13886,5.54737,1.2805,2.3780,-2.1951,0.00,0.00,0.00,0,S01
380,-7.56089,-0.11971,5.51385,1.5244,3.7195,-2.3780,0.00,0.00,0.00,0,S01
400,-7.65426,-0.06704,5.52103,1.5854,4.1463,-2.3780,0.00,0.00,0.00,0,S01
420,-7.61835,-0.02394,5.52103,1.2195,3.2317,-2.1341,0.00,0.00,0.00,0,S01
440,-7.57047,-0.00239,5.50906,0.5488,2.4390,-1.7683,0.00,0.00,0.00,0,S01
460,-7.55849,0.05746,5.51145,0.2439,2.3780,-1.7683,0.00,0.00,0.00,0,S01
480,-7.59680,0.14365,5.54737,0.6098,2.5610,-1.7683,0.00,0.00,0.00,0,S01
500,-7.57047,0.13408,5.58088,1.0976,2.1341,-1.5244,0.00,0.00,0.00,0,S01
520,-7.54174,0.07901,5.55934,1.0976,1.4634,-1.2195,0.00,0.00,0.00,0,S01
540,-7.53455,0.02873,5.58567,0.8537,1.3415,-1.0366,0.00,0.00,0.00,0,S01
560,-7.56089,-0.01915,5.59285,0.3659,1.0366,-0.7317,0.00,0.00,0.00,0,S01
580,-7.57525,-0.07422,5.56412,-0.1220,0.4878,-0.4878,0.00,0.00,0.00,0,S01
600,-7.49625,-0.09816,5.54258,-0.3659,0.6098,-0.3049,0.00,0.00,0.00,0,S01
620,-7.42921,-0.13886,5.55215,-1.0366,1.5244,0.1220,0.00,0.00,0.00,0,S01
640,-7.48906,-0.14365,5.59285,-1.8902,2.5610,0.4268,0.00,0.00,0.00,0,S01
660,-7.58004,-0.06704,5.61201,-2.5610,2.5610,0.4878,0.00,0.00,0.00,0,S01
680,-7.56807,-0.00958,5.62398,-2.9268,1.6463,0.4268,0.00,0.00,0.00,0,S01
700,-7.48427,0.04310,5.58567,-3.1098,1.5854,0.4878,0.00,0.00,0.00,0,S01
720,-7.53216,0.03591,5.55215,-2.9268,2.6220,0.4878,0.00,0.00,0.00,0,S01
740,-7.61117,0.04310,5.48751,-2.1951,3.2927,0.4878,0.00,0.00,0.00,0,S01
760,-7.62793,0.08140,5.45160,-2.2561,3.4146,0.9146,0.00,0.00,0.00,0,S01
780,-7.61835,0.01197,5.44202,-2.9878,3.0488,1.2805,0.00,0.00,0.00,0,S01
800,-7.63032,-0.01676,5.48751,-3.2927,2.8049,1.1585,0.00,0.00,0.00,0,S01
820,-7.66623,-0.03112,5.46117,-2.9268,2.7439,0.8537,0.00,0.00,0.00,0,S01
840,-7.68060,-0.02155,5.44441,-2.9878,2.2561,0.9146,0.00,0.00,0.00,0,S01
860,-7.56568,-0.08140,5.52821,-3.2317,1.7073,1.5244,0.00,0.00,0.00,0,S01
880,-7.55131,-0.08619,5.51385,-2.6220,1.1585,2.0122,0.00,0.00,0.00,0,S01
900,-7.65666,-0.02873,5.48033,-1.9512,1.2805,2.5610,0.00,0.00,0.00,0,S01
920,-7.67342,0.02394,5.44681,-2.3780,1.5244,3.4756,0.00,0.00,0.00,0,S01
940,-7.54652,0.10534,5.35344,-4.0854,0.8537,4.8171,0.00,0.00,0.00,0,S01
960,-7.38851,0.24181,5.35822,-6.7683,2.1341,6.9512,0.00,0.00,0.00,0,S01
980,-7.62074,0.10774,5.36301,-9.1463,4.8780,9.0854,0.00,0.00,0.00,0,S01
1000,-7.91284,0.06464,5.41808,-10.4878,5.7317,9.1463,0.00,0.00,0.00,0,S01
1020,-7.89129,0.10295,5.34865,-11.8902,3.9024,9.7561,0.00,0.00,0.00,0,S01
1040,-7.87692,-0.00479,5.36780,-13.9634,2.9878,10.6707,0.00,0.00,0.00,0,S01
1060,-7.87214,-0.01676,5.42287,-13.3537,3.3537,10.5488,0.00,0.00,0.00,0,S01
1080,-7.70454,0.08619,5.33428,-12.1341,0.5488,12.0122,0.00,0.00,0.00,0,S01
1100,-7.66384,0.18196,5.28640,-12.0732,0.7317,13.1707,0.00,0.00,0.00,0,S01
1120,-7.63990,0.26097,5.25767,-12.9878,2.2561,14.6341,0.00,0.00,0.00,0,S01
1140,-7.62074,0.17478,5.25288,-15.1220,2.6829,16.4024,0.00,0.00,0.00,0,S01
1160,-7.64469,0.18196,5.39174,-16.0976,3.0488,17.1951,0.00,0.00,0.00,0,S01
1180,-7.65426,0.34955,5.38935,-16.2805,4.5122,17.8659,0.00,0.00,0.00,0,S01
1200,-7.66863,0.46448,5.25048,-18.4756,7.2561,18.5366,0.00,0.00,0.00,0,S01
1220,-7.70454,0.33279,5.22654,-21.8293,8.5976,19.3902,0.00,0.00,0.00,0,S01
1240,-7.70933,0.13886,5.34625,-23.8415,7.9268,19.6951,0.00,0.00,0.00,0,S01
1260,-7.75482,0.24900,5.34625,-23.7805,7.6829,19.8171,0.00,0.00,0.00,0,S01
1280,-7.74524,0.43335,5.18105,-24.0854,7.9878,20.6098,0.00,0.00,0.00,0,S01
1300,-7.63032,0.54588,5.07571,-26.2805,8.5976,21.2805,0.00,0.00,0.00,0,S01
1320,-7.53455,0.44053,5.19063,-29.1463,8.4756,20.5488,0.00,0.00,0.00,0,S01
1340,-7.55131,0.27054,5.34625,-29.3902,7.3780,17.8659,0.00,0.00,0.00,0,S01
1360,-7.60159,0.34477,5.37977,-26.4634,7.0122,14.1463,0.00,0.00,0.00,0,S01
1380,-7.66623,0.42617,5.36062,-22.9878,8.0488,10.9146,0.00,0.00,0.00,0,S01
