timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,-9.17458,1.09415,1.33596,0.9146,1.8902,-1.6463,0.00,0.00,0.00,1,S01
20,-9.17698,1.14203,1.33357,1.0366,1.6463,-1.5854,0.00,0.00,0.00,1,S01
40,-9.18655,1.14922,1.32160,0.6098,1.3415,-1.4634,0.00,0.00,0.00,1,S01
60,-9.18895,1.12049,1.29766,0.3659,1.4024,-1.5854,0.00,0.00,0.00,1,S01
80,-9.18176,1.10373,1.28569,0.3049,1.7073,-1.7683,0.00,0.00,0.00,1,S01
100,-9.16979,1.09415,1.30723,0.4268,1.8293,-1.8293,0.00,0.00,0.00,1,S01
120,-9.16261,1.08697,1.31202,0.6098,1.6463,-1.8902,0.00,0.00,0.00,1,S01
140,-9.16500,1.09894,1.28808,0.4878,1.5244,-1.9512,0.00,0.00,0.00,1,S01
160,-9.17937,1.09894,1.24259,0.2439,1.4634,-1.8902,0.00,0.00,0.00,1,S01
180,-9.19373,1.08218,1.26414,0.1829,1.5244,-1.8902,0.00,0.00,0.00,1,S01
200,-9.19852,1.07500,1.25696,0.2439,1.3415,-1.8293,0.00,0.00,0.00,1,S01
220,-9.21289,1.06303,1.24259,0.6098,1.2195,-1.8293,0.00,0.00,0.00,1,S01
240,-9.21289,1.05105,1.27372,0.9756,1.0366,-1.8902,0.00,0.00,0.00,1,S01
260,-9.18895,1.07739,1.28569,1.1585,0.7317,-1.9512,0.00,0.00,0.00,1,S01
280,-9.17937,1.13006,1.31681,1.0976,0.7317,-1.8293,0.00,0.00,0.00,1,S01
300,-9.19852,1.13485,1.28808,0.9146,0.7317,-1.7683,0.00,0.00,0.00,1,S01
320,-9.20092,1.09415,1.27132,0.7927,0.7927,-1.8293,0.00,0.00,0.00,1,S01
340,-9.19613,1.07978,1.26653,0.8537,0.8537,-2.0122,0.00,0.00,0.00,1,S01
360,-9.18655,1.09415,1.28569,0.9146,0.9756,-2.0732,0.00,0.00,0.00,1,S01
380,-9.18655,1.11330,1.28090,0.7927,0.9146,-1.9512,0.00,0.00,0.00,1,S01
400,-9.19134,1.10373,1.25696,0.6707,0.9146,-1.8293,0.00,0.00,0.00,1,S01
420,-9.19613,1.09415,1.24020,0.4268,1.0976,-1.8902,0.00,0.00,0.00,1,S01
440,-9.18655,1.09415,1.23301,0.1220,1.4634,-1.7683,0.00,0.00,0.00,1,S01
460,-9.19373,1.06303,1.23780,0.0000,1.5854,-1.5854,0.00,0.00,0.00,1,S01
480,-9.24162,1.08218,1.25217,0.4268,0.7927,-1.5854,0.00,0.00,0.00,1,S01
500,-9.22007,1.10373,1.21386,0.1829,0.3659,-1.7073,0.00,0.00,0.00,1,S01
520,-9.19852,1.10373,1.21147,-0.1829,0.4878,-1.9512,0.00,0.00,0.00,1,S01
540,-9.19613,1.05345,1.19231,-0.2439,0.6707,-2.0122,0.00,0.00,0.00,1,S01
560,-9.20571,1.01514,1.16119,0.0000,0.8537,-1.9512,0.00,0.00,0.00,1,S01
580,-9.19373,1.01275,1.16598,0.1220,0.9756,-1.8902,0.00,0.00,0.00,1,S01
600,-9.17219,1.02232,1.18752,0.3049,1.2195,-1.9512,0.00,0.00,0.00,1,S01
620,-9.18895,1.06063,1.21147,0.7317,1.4634,-2.0122,0.00,0.00,0.00,1,S01
640,-9.22725,1.05345,1.19231,1.0366,1.2805,-2.0122,0.00,0.00,0.00,1,S01
660,-9.19852,1.06542,1.18034,0.9146,0.8537,-2.0122,0.00,0.00,0.00,1,S01
680,-9.18416,1.07978,1.18274,0.6098,0.9756,-1.8902,0.00,0.00,0.00,1,S01
700,-9.21049,1.05824,1.18513,0.4268,1.1585,-1.7683,0.00,0.00,0.00,1,S01
720,-9.22725,1.06063,1.20189,0.6098,1.0976,-1.7073,0.00,0.00,0.00,1,S01
740,-9.21768,1.08218,1.19231,0.5488,0.7927,-1.7073,0.00,0.00,0.00,1,S01
760,-9.20571,1.09654,1.19710,0.0610,0.6098,-1.6463,0.00,0.00,0.00,1,S01
780,-9.19852,1.08218,1.16598,-0.4268,0.6098,-1.5244,0.00,0.00,0.00,1,S01
800,-9.21049,1.04148,1.18034,-0.6098,0.7927,-1.4634,0.00,0.00,0.00,1,S01
820,-9.20092,1.00796,1.18513,-0.4268,0.7927,-1.4634,0.00,0.00,0.00,1,S01
840,-9.18895,1.00317,1.18992,-0.1829,0.7927,-1.5244,0.00,0.00,0.00,1,S01
860,-9.20092,1.03908,1.18274,-0.0610,0.7927,-1.5244,0.00,0.00,0.00,1,S01
880,-9.22965,1.05824,1.18034,-0.1829,0.6098,-1.4024,0.00,0.00,0.00,1,S01
900,-9.23922,1.04387,1.17076,-0.3659,0.4878,-1.2805,0.00,0.00,0.00,1,S01
920,-9.22725,1.02951,1.17316,-0.4268,0.3659,-1.3415,0.00,0.00,0.00,1,S01
940,-9.22725,1.03669,1.17076,-0.4268,0.3049,-1.4634,0.00,0.00,0.00,1,S01
960,-9.22246,1.02711,1.16598,-0.5488,0.0000,-1.4634,0.00,0.00,0.00,1,S01
980,-9.22725,1.01035,1.18274,-0.5488,-0.3659,-1.4024,0.00,0.00,0.00,1,S01
1000,-9.23444,1.00556,1.19950,-0.3049,-0.4878,-1.4634,0.00,0.00,0.00,1,S01
1020,-9.21768,1.01275,1.21147,-0.1829,-0.5488,-1.5244,0.00,0.00,0.00,1,S01
1040,-9.20331,1.02711,1.18274,-0.2439,-0.5488,-1.5244,0.00,0.00,0.00,1,S01
1060,-9.21049,1.02711,1.20189,-0.2439,-0.4268,-1.4634,0.00,0.00,0.00,1,S01
1080,-9.21528,1.03430,1.21625,-0.2439,-0.4268,-1.4634,0.00,0.00,0.00,1,S01
1100,-9.21049,1.03669,1.19950,-0.3659,-0.4268,-1.4024,0.00,0.00,0.00,1,S01
1120,-9.21289,1.02232,1.18513,-0.7317,-0.6098,-1.4024,0.00,0.00,0.00,1,S01
1140,-9.21289,1.02232,1.18513,-0.7317,-0.6098,-1.4024,0.00,0.00,0.00,1,S01
1160,-9.21289,1.00556,1.21625,-0.6707,-0.7927,-1.4634,0.00,0.00,0.00,1,S01
1180,-9.22486,1.02232,1.22823,-0.5488,-0.9146,-1.4024,0.00,0.00,0.00,1,S01
1200,-9.23444,1.02232,1.21625,-0.6098,-1.0366,-1.2805,0.00,0.00,0.00,1,S01
1220,-9.21528,1.00796,1.24259,-0.7317,-1.1585,-1.2805,0.00,0.00,0.00,1,S01
1240,-9.20331,1.01275,1.25456,-0.6707,-1.2805,-1.2805,0.00,0.00,0.00,1,S01
1260,-9.20331,1.03669,1.23062,-0.4878,-1.0976,-1.2805,0.00,0.00,0.00,1,S01
1280,-9.22246,1.03430,1.23301,-0.5488,-0.9756,-1.2805,0.00,0.00,0.00,1,S01
1300,-9.21049,1.03430,1.25217,-0.7317,-1.3415,-1.3415,0.00,0.00,0.00,1,S01
1320,-9.20810,1.02472,1.23301,-0.7317,-1.5854,-1.3415,0.00,0.00,0.00,1,S01
1340,-9.21528,1.03669,1.21625,-0.7317,-1.5244,-1.3415,0.00,0.00,0.00,1,S01
1360,-9.20331,1.05345,1.22823,-0.9756,-1.4024,-1.2195,0.00,0.00,0.00,1,S01
1380,-9.20571,1.04627,1.26414,-1.2195,-1.2195,-1.1585,0.00,0.00,0.00,1,S01
1400,-9.22007,1.03908,1.26893,-1.3415,-1.2195,-1.0976,0.00,0.00,0.00,1,S01
1420,-9.21768,1.01754,1.26174,-1.4024,-1.2805,-1.0976,0.00,0.00,0.00,1,S01
1440,-9.20092,1.01514,1.28569,-1.4024,-1.2805,-1.0976,0.00,0.00,0.00,1,S01
