timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,-9.25838,-0.68953,0.66319,-3.9634,-2.1341,-1.3415,0.00,0.00,0.00,4,S01
20,-9.25598,-0.74220,0.68714,-3.6585,-1.7683,-1.3415,0.00,0.00,0.00,4,S01
40,-9.25838,-0.75896,0.72305,-2.8049,-1.3415,-1.1585,0.00,0.00,0.00,4,S01
60,-9.25598,-0.74460,0.75178,-1.7683,-1.1585,-0.9146,0.00,0.00,0.00,4,S01
80,-9.33260,-0.69671,0.73741,-0.9756,-0.8537,-0.6707,0.00,0.00,0.00,4,S01
100,-9.33499,-0.65122,0.78290,-0.5488,-0.4878,-0.8537,0.00,0.00,0.00,4,S01
120,-9.33978,-0.62249,0.75178,0.0610,-0.5488,-1.2195,0.00,0.00,0.00,4,S01
140,-9.33020,-0.56503,0.68953,0.4878,-0.6098,-1.6463,0.00,0.00,0.00,4,S01
160,-9.30626,-0.54588,0.71826,0.5488,-0.4878,-1.8902,0.00,0.00,0.00,4,S01
180,-9.28711,-0.58897,0.76854,0.8537,-0.7927,-1.8293,0.00,0.00,0.00,4,S01
200,-9.28950,-0.60094,0.77093,1.1585,-1.1585,-1.6463,0.00,0.00,0.00,4,S01
220,-9.30626,-0.57700,0.73981,0.8537,-1.0366,-1.4634,0.00,0.00,0.00,4,S01
240,-9.30626,-0.56264,0.72544,0.3659,-0.7317,-1.3415,0.00,0.00,0.00,4,S01
260,-9.30147,-0.56264,0.73263,0.3049,-0.7927,-1.2805,0.00,0.00,0.00,4,S01
280,-9.29908,-0.55306,0.72544,0.4878,-0.9146,-1.1585,0.00,0.00,0.00,4,S01
300,-9.32302,-0.53391,0.74939,0.4268,-1.0366,-0.9756,0.00,0.00,0.00,4,S01
320,-9.35175,-0.50996,0.77572,0.0610,-1.2805,-0.9146,0.00,0.00,0.00,4,S01
340,-9.34936,-0.50996,0.77572,-0.4878,-1.7073,-1.0366,0.00,0.00,0.00,4,S01
360,-9.30626,-0.56743,0.75896,-0.6098,-1.8293,-1.2805,0.00,0.00,0.00,4,S01
380,-9.27035,-0.60813,0.78290,-0.3049,-1.6463,-1.4024,0.00,0.00,0.00,4,S01
400,-9.25598,-0.61292,0.80924,-0.0610,-1.3415,-1.2805,0.00,0.00,0.00,4,S01
420,-9.27035,-0.61052,0.80685,-0.0610,-1.2195,-1.0366,0.00,0.00,0.00,4,S01
440,-9.28232,-0.61292,0.78530,0.0610,-1.2195,-0.7927,0.00,0.00,0.00,4,S01
460,-9.26556,-0.63686,0.79248,0.5488,-1.1585,-0.6098,0.00,0.00,0.00,4,S01
480,-9.20810,-0.69192,0.82839,1.4024,-1.2805,-0.3659,0.00,0.00,0.00,4,S01
500,-9.13867,-0.80685,0.82839,2.6829,-1.2805,-0.1220,0.00,0.00,0.00,4,S01
520,-9.05008,-1.05105,0.70868,5.6707,-0.0610,0.1829,0.00,0.00,0.00,4,S01
540,-9.05727,-1.25935,0.72065,10.4878,2.1951,0.1829,0.00,0.00,0.00,4,S01
560,-9.13627,-1.32160,0.71587,15.5488,3.5366,0.2439,0.00,0.00,0.00,4,S01
580,-9.24880,-1.13246,0.72784,19.2073,3.9634,0.6098,0.00,0.00,0.00,4,S01
600,-9.43794,-0.85234,0.83318,20.7927,4.3902,1.0976,0.00,0.00,0.00,4,S01
620,-9.57681,-0.56743,0.89783,20.8537,3.6585,0.9146,0.00,0.00,0.00,4,S01
640,-9.62948,-0.29449,0.87867,17.7439,2.9878,0.0610,0.00,0.00,0.00,4,S01
660,-9.63666,-0.11732,1.01275,11.9512,2.6220,-1.1585,0.00,0.00,0.00,4,S01
680,-9.50498,-0.03591,1.08218,6.6463,1.2805,-2.6220,0.00,0.00,0.00,4,S01
700,-9.38288,-0.10056,1.14443,1.5854,-0.2439,-4.0854,0.00,0.00,0.00,4,S01
720,-9.27514,-0.18196,1.13485,-2.8659,-0.3659,-5.0000,0.00,0.00,0.00,4,S01
740,-9.08121,-0.34237,1.14443,-6.3415,0.6707,-5.3049,0.00,0.00,0.00,4,S01
760,-8.96150,-0.59855,1.22583,-8.0488,2.1341,-5.0610,0.00,0.00,0.00,4,S01
780,-9.05248,-0.86670,1.31442,-4.0854,3.8415,-3.4756,0.00,0.00,0.00,4,S01
800,-9.08600,-0.85234,1.29287,-1.8293,4.7561,-2.3171,0.00,0.00,0.00,4,S01
820,-9.09078,-0.82839,1.31202,0.3049,6.1585,-1.6463,0.00,0.00,0.00,4,S01
840,-9.06924,-0.83558,1.38385,2.8049,7.5000,-1.4024,0.00,0.00,0.00,4,S01
860,-9.11951,-0.74939,1.43892,5.0610,8.5976,-1.6463,0.00,0.00,0.00,4,S01
880,-9.23922,-0.54588,1.40061,5.3659,8.8415,-1.9512,0.00,0.00,0.00,4,S01
900,-9.22246,-0.46687,1.33596,4.0854,8.9634,-2.3171,0.00,0.00,0.00,4,S01
920,-9.17458,-0.48602,1.33596,3.2317,9.4512,-2.8049,0.00,0.00,0.00,4,S01
940,-9.24641,-0.50757,1.41976,2.0732,9.5732,-3.2317,0.00,0.00,0.00,4,S01
