timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,label,subject_id
0,-8.57364,1.76213,1.66876,-5.4268,10.5488,-2.0732,0.00,0.00,0.00,2,S01
20,-8.61913,1.61609,1.81720,-4.7561,9.0854,-5.4268,0.00,0.00,0.00,2,S01
40,-8.55448,1.64960,1.55623,-2.3171,8.2317,-7.1341,0.00,0.00,0.00,2,S01
60,-8.59518,1.11809,1.22344,-0.1829,8.7805,-8.1707,0.00,0.00,0.00,2,S01
80,-8.94234,0.50278,1.68312,6.1585,9.5732,-11.3415,0.00,0.00,0.00,2,S01
100,-9.29190,0.73023,1.68791,15.5488,5.6707,-15.5488,0.00,0.00,0.00,2,S01
120,-9.64145,1.04627,1.90578,20.4268,-0.9146,-16.7073,0.00,0.00,0.00,2,S01
140,-9.83059,0.81403,2.77967,25.6707,-7.4390,-14.2683,0.00,0.00,0.00,2,S01
160,-9.73961,0.97923,3.03345,37.0732,-13.9634,-11.0976,0.00,0.00,0.00,2,S01
180,-10.52970,2.30083,1.99198,45.7317,-15.7317,-7.4390,0.00,0.00,0.00,2,S01
200,-11.85848,3.83791,0.56503,42.7439,-10.0610,3.1098,0.00,0.00,0.00,2,S01
220,-12.21043,4.03423,-0.58419,34.0854,-4.3902,19.0244,0.00,0.00,0.00,2,S01
240,-10.62307,2.88501,-1.02472,26.2805,-2.4390,30.1829,0.00,0.00,0.00,2,S01
260,-8.86333,1.33836,-1.02711,19.3902,-3.1098,27.7439,0.00,0.00,0.00,2,S01
280,-8.37252,0.92656,-1.08457,18.2317,-3.0488,14.3293,0.00,0.00,0.00,2,S01
300,-8.89685,1.42934,-1.06542,17.9878,-4.9390,2.8659,0.00,0.00,0.00,2,S01
320,-9.35415,2.14760,-0.83079,11.3415,-7.5000,0.0000,0.00,0.00,0.00,2,S01
340,-9.17219,2.51631,-1.12767,0.0610,-7.3171,1.1585,0.00,0.00,0.00,2,S01
360,-9.46907,2.57856,-0.96247,-17.5610,-2.0732,-0.3049,0.00,0.00,0.00,2,S01
380,-9.82341,2.23618,-0.53870,-36.0366,-1.0976,-5.9146,0.00,0.00,0.00,2,S01
400,-9.72046,1.66876,-0.61770,-46.3415,-6.5854,-12.5610,0.00,0.00,0.00,2,S01
420,-9.39245,1.07260,-0.34237,-50.7317,-7.1951,-17.8049,0.00,0.00,0.00,2,S01
440,-9.05248,0.59376,0.16759,-52.6220,-5.0000,-19.2683,0.00,0.00,0.00,2,S01
460,-8.53054,0.43335,0.59376,-52.4390,-4.7561,-14.7561,0.00,0.00,0.00,2,S01
480,-8.36295,0.62728,0.57461,-50.0000,-2.5000,-11.4634,0.00,0.00,0.00,2,S01
500,-8.33422,0.78530,0.56024,-48.4756,0.8537,-7.9268,0.00,0.00,0.00,2,S01
